BTC, GBP
2014-01-01-00-00, 448.613756
2014-01-01-01-00, 450.362264
2014-01-01-02-00, 450.895513
2014-01-01-03-00, 449.940847
2014-01-01-04-00, 451.102517
2014-01-01-05-00, 451.151298
2014-01-01-06-00, 451.086674
2014-01-01-07-00, 454.227404
2014-01-01-08-00, 455.028765
2014-01-01-09-00, 452.799014
2014-01-01-10-00, 452.427971
2014-01-01-11-00, 450.746068
2014-01-01-12-00, 453.046758
2014-01-01-13-00, 452.489036
2014-01-01-14-00, 455.597077
2014-01-01-15-00, 452.282291
2014-01-01-16-00, 452.846060
2014-01-01-17-00, 447.414496
2014-01-01-18-00, 450.807577
2014-01-01-19-00, 455.546011
2014-01-01-20-00, 456.242118
2014-01-01-21-00, 456.447422
2014-01-01-22-00, 456.132412
2014-01-01-23-00, 455.237474
2014-01-02-00-00, 462.803442
2014-01-02-01-00, 463.026905
2014-01-02-02-00, 467.912340
2014-01-02-03-00, 467.213803
2014-01-02-04-00, 467.028300
2014-01-02-05-00, 463.473912
2014-01-02-06-00, 463.598818
2014-01-02-07-00, 462.112496
2014-01-02-08-00, 462.536661
2014-01-02-09-00, 464.929293
2014-01-02-10-00, 465.082298
2014-01-02-11-00, 465.677086
2014-01-02-12-00, 465.343700
2014-01-02-13-00, 461.917905
2014-01-02-14-00, 463.859205
2014-01-02-15-00, 464.262466
2014-01-02-16-00, 470.326819
2014-01-02-17-00, 468.847241
2014-01-02-18-00, 469.181569
2014-01-02-19-00, 473.687267
2014-01-02-20-00, 480.520256
2014-01-02-21-00, 488.484425
2014-01-02-22-00, 476.963285
2014-01-02-23-00, 478.568557
2014-01-03-00-00, 480.558307
2014-01-03-01-00, 490.949517
2014-01-03-02-00, 490.076282
2014-01-03-03-00, 472.972410
2014-01-03-04-00, 476.280694
2014-01-03-05-00, 476.452332
2014-01-03-06-00, 477.912330
2014-01-03-07-00, 479.659752
2014-01-03-08-00, 482.707490
2014-01-03-09-00, 486.606956
2014-01-03-10-00, 489.058899
2014-01-03-11-00, 488.135718
2014-01-03-12-00, 488.964217
2014-01-03-13-00, 491.860435
2014-01-03-14-00, 487.052329
2014-01-03-15-00, 490.209819
2014-01-03-16-00, 488.263435
2014-01-03-17-00, 490.778746
2014-01-03-18-00, 488.235009
2014-01-03-19-00, 482.921725
2014-01-03-20-00, 490.967768
2014-01-03-21-00, 485.133923
2014-01-03-22-00, 498.542948
2014-01-03-23-00, 490.407770
2014-01-04-00-00, 491.362484
2014-01-04-01-00, 493.211214
2014-01-04-02-00, 490.276006
2014-01-04-03-00, 489.913342
2014-01-04-04-00, 488.356294
2014-01-04-05-00, 489.181420
2014-01-04-06-00, 492.177293
2014-01-04-07-00, 491.681889
2014-01-04-08-00, 493.761634
2014-01-04-09-00, 497.412860
2014-01-04-10-00, 492.532053
2014-01-04-11-00, 495.431450
