ETC, GBP
2016-07-25-06-00, 0.615085
2016-07-25-07-00, 0.616201
2016-07-25-08-00, 0.616250
2016-07-25-09-00, 0.617016
2016-07-25-10-00, 0.616365
2016-07-25-11-00, 0.615974
2016-07-25-12-00, 0.494037
2016-07-25-13-00, 0.494735
2016-07-25-14-00, 0.494908
2016-07-25-15-00, 0.496007
2016-07-25-16-00, 0.495627
2016-07-25-17-00, 0.495222
2016-07-25-18-00, 0.500385
2016-07-25-19-00, 0.501232
2016-07-25-20-00, 0.500474
2016-07-25-21-00, 0.500849
2016-07-25-22-00, 0.500268
2016-07-25-23-00, 0.499704
2016-07-26-00-00, 0.461611
2016-07-26-01-00, 0.461757
2016-07-26-02-00, 0.462132
2016-07-26-03-00, 0.461906
2016-07-26-04-00, 0.460442
2016-07-26-05-00, 0.461331
2016-07-26-06-00, 0.586511
2016-07-26-07-00, 0.587441
2016-07-26-08-00, 0.588163
2016-07-26-09-00, 0.587716
2016-07-26-10-00, 0.588741
2016-07-26-11-00, 0.588765
2016-07-26-12-00, 0.000000
2016-07-26-13-00, 0.000000
2016-07-26-14-00, 0.000000
2016-07-26-15-00, 0.000000
2016-07-26-16-00, 0.000000
2016-07-26-17-00, 0.000000
2016-07-26-18-00, 1.633967
2016-07-26-19-00, 1.634862
2016-07-26-20-00, 1.633564
2016-07-26-21-00, 1.632021
2016-07-26-22-00, 1.631235
2016-07-26-23-00, 1.626656
2016-07-27-00-00, 1.445265
2016-07-27-01-00, 1.444107
2016-07-27-02-00, 1.446355
2016-07-27-03-00, 1.447319
2016-07-27-04-00, 1.442007
2016-07-27-05-00, 1.445862
2016-07-27-06-00, 1.612129
2016-07-27-07-00, 1.612077
2016-07-27-08-00, 1.610603
2016-07-27-09-00, 1.612687
2016-07-27-10-00, 1.611838
2016-07-27-11-00, 1.607314
2016-07-27-12-00, 1.459355
2016-07-27-13-00, 1.461417
2016-07-27-14-00, 1.461795
2016-07-27-15-00, 1.464883
2016-07-27-16-00, 1.468349
2016-07-27-17-00, 1.466830
2016-07-27-18-00, 1.142401
2016-07-27-19-00, 1.142562
2016-07-27-20-00, 1.143928
2016-07-27-21-00, 1.143219
2016-07-27-22-00, 1.141740
2016-07-27-23-00, 1.141226
2016-07-28-00-00, 1.256679
2016-07-28-01-00, 1.255647
2016-07-28-02-00, 1.254168
2016-07-28-03-00, 1.256139
2016-07-28-04-00, 1.256064
2016-07-28-05-00, 1.253573
2016-07-28-06-00, 1.140353
2016-07-28-07-00, 1.140879
2016-07-28-08-00, 1.140405
2016-07-28-09-00, 1.140544
2016-07-28-10-00, 1.140676
2016-07-28-11-00, 1.140191
2016-07-28-12-00, 1.406351
2016-07-28-13-00, 1.406580
2016-07-28-14-00, 1.408175
2016-07-28-15-00, 1.410470
2016-07-28-16-00, 1.403657
2016-07-28-17-00, 1.405042
2016-07-28-18-00, 1.398959
2016-07-28-19-00, 1.400110
2016-07-28-20-00, 1.399433
2016-07-28-21-00, 1.399811
2016-07-28-22-00, 1.400319
2016-07-28-23-00, 1.399500
2016-07-29-00-00, 1.277608
2016-07-29-01-00, 1.278716
2016-07-29-02-00, 1.276470
2016-07-29-03-00, 1.275478
2016-07-29-04-00, 1.276077
2016-07-29-05-00, 1.275111
2016-07-29-06-00, 1.317875
2016-07-29-07-00, 1.317048
2016-07-29-08-00, 1.316990
2016-07-29-09-00, 1.317275
2016-07-29-10-00, 1.316805
2016-07-29-11-00, 1.316653
2016-07-29-12-00, 1.259967
2016-07-29-13-00, 1.262157
2016-07-29-14-00, 1.261588
2016-07-29-15-00, 1.260436
2016-07-29-16-00, 1.260487
2016-07-29-17-00, 1.261039
2016-07-29-18-00, 1.218586
2016-07-29-19-00, 1.220780
2016-07-29-20-00, 1.221169
2016-07-29-21-00, 1.220171
2016-07-29-22-00, 1.220571
2016-07-29-23-00, 1.220765
2016-07-30-00-00, 1.214865
2016-07-30-01-00, 1.213432
2016-07-30-02-00, 1.212920
2016-07-30-03-00, 1.217194
2016-07-30-04-00, 1.212779
2016-07-30-05-00, 1.213567
2016-07-30-06-00, 1.262688
2016-07-30-07-00, 1.261476
2016-07-30-08-00, 1.261425
2016-07-30-09-00, 1.262638
2016-07-30-10-00, 1.264189
2016-07-30-11-00, 1.265547
2016-07-30-12-00, 1.243013
2016-07-30-13-00, 1.241721
2016-07-30-14-00, 1.242606
2016-07-30-15-00, 1.244992
2016-07-30-16-00, 1.241584
2016-07-30-17-00, 1.242001
2016-07-30-18-00, 1.185168
2016-07-30-19-00, 1.185477
2016-07-30-20-00, 1.185184
2016-07-30-21-00, 1.185417
2016-07-30-22-00, 1.185302
2016-07-30-23-00, 1.186824
2016-07-31-00-00, 1.291694
2016-07-31-01-00, 1.293423
2016-07-31-02-00, 1.273142
2016-07-31-03-00, 1.269350
2016-07-31-04-00, 1.259955
2016-07-31-05-00, 1.265937
2016-07-31-06-00, 1.255371
2016-07-31-07-00, 1.257736
2016-07-31-08-00, 1.257274
2016-07-31-09-00, 1.253420
2016-07-31-10-00, 1.251794
2016-07-31-11-00, 1.251581
2016-07-31-12-00, 1.353032
2016-07-31-13-00, 1.354631
2016-07-31-14-00, 1.353922
2016-07-31-15-00, 1.355207
2016-07-31-16-00, 1.351105
2016-07-31-17-00, 1.351860
2016-07-31-18-00, 1.410317
2016-07-31-19-00, 1.408093
2016-07-31-20-00, 1.412222
2016-07-31-21-00, 1.408567
2016-07-31-22-00, 1.409113
2016-07-31-23-00, 1.399554
2016-08-01-00-00, 1.561633
2016-08-01-01-00, 1.555067
2016-08-01-02-00, 1.552688
2016-08-01-03-00, 1.556683
2016-08-01-04-00, 1.555842
2016-08-01-05-00, 1.563848
2016-08-01-06-00, 1.375270
2016-08-01-07-00, 1.373253
2016-08-01-08-00, 1.371059
2016-08-01-09-00, 1.373456
2016-08-01-10-00, 1.375776
2016-08-01-11-00, 1.376473
2016-08-01-12-00, 1.626593
2016-08-01-13-00, 1.623834
2016-08-01-14-00, 1.621916
2016-08-01-15-00, 1.619016
2016-08-01-16-00, 1.617414
2016-08-01-17-00, 1.614122
2016-08-01-18-00, 1.588192
2016-08-01-19-00, 1.592030
2016-08-01-20-00, 1.591951
2016-08-01-21-00, 1.595127
2016-08-01-22-00, 1.582781
2016-08-01-23-00, 1.575884
2016-08-02-00-00, 2.021341
2016-08-02-01-00, 2.030949
2016-08-02-02-00, 2.023632
2016-08-02-03-00, 2.014817
2016-08-02-04-00, 2.003346
2016-08-02-05-00, 2.004320
2016-08-02-06-00, 1.920841
2016-08-02-07-00, 1.920653
2016-08-02-08-00, 1.917602
2016-08-02-09-00, 1.917634
2016-08-02-10-00, 1.914652
2016-08-02-11-00, 1.915929
2016-08-02-12-00, 1.949223
2016-08-02-13-00, 1.952589
2016-08-02-14-00, 1.949265
2016-08-02-15-00, 1.933825
2016-08-02-16-00, 1.933383
2016-08-02-17-00, 1.937639
2016-08-02-18-00, 2.066308
2016-08-02-19-00, 2.030560
2016-08-02-20-00, 2.029285
2016-08-02-21-00, 1.998261
2016-08-02-22-00, 1.920336
2016-08-02-23-00, 1.885280
2016-08-03-00-00, 1.975427
2016-08-03-01-00, 1.981972
2016-08-03-02-00, 1.992283
2016-08-03-03-00, 2.013327
2016-08-03-04-00, 1.990129
2016-08-03-05-00, 1.986230
2016-08-03-06-00, 2.061843
2016-08-03-07-00, 2.074094
2016-08-03-08-00, 2.077573
2016-08-03-09-00, 2.056669
2016-08-03-10-00, 2.059901
2016-08-03-11-00, 2.071496
2016-08-03-12-00, 2.146969
2016-08-03-13-00, 2.179167
2016-08-03-14-00, 2.154648
2016-08-03-15-00, 2.146278
2016-08-03-16-00, 2.168190
2016-08-03-17-00, 2.174153
2016-08-03-18-00, 2.336336
2016-08-03-19-00, 2.343309
2016-08-03-20-00, 2.342982
2016-08-03-21-00, 2.342367
2016-08-03-22-00, 2.344349
2016-08-03-23-00, 2.339056
2016-08-04-00-00, 1.857361
2016-08-04-01-00, 1.858401
2016-08-04-02-00, 1.875759
2016-08-04-03-00, 1.862855
2016-08-04-04-00, 1.872751
2016-08-04-05-00, 1.854537
2016-08-04-06-00, 2.059727
2016-08-04-07-00, 2.062019
2016-08-04-08-00, 2.062732
2016-08-04-09-00, 2.061744
2016-08-04-10-00, 2.059760
2016-08-04-11-00, 2.067466
2016-08-04-12-00, 1.846153
2016-08-04-13-00, 1.845055
