ETH, GBP
2015-08-07-00-00, 1.783397
2015-08-07-01-00, 1.789427
2015-08-07-02-00, 1.782512
2015-08-07-03-00, 1.779107
2015-08-07-04-00, 1.776311
2015-08-07-05-00, 1.778785
2015-08-07-06-00, 1.773884
2015-08-07-07-00, 1.777125
2015-08-07-08-00, 1.780882
2015-08-07-09-00, 1.784462
2015-08-07-10-00, 1.785022
2015-08-07-11-00, 1.787763
2015-08-07-12-00, 1.788917
2015-08-07-13-00, 1.791706
2015-08-07-14-00, 1.788683
2015-08-07-15-00, 1.793947
2015-08-07-16-00, 1.792304
2015-08-07-17-00, 1.790015
2015-08-07-18-00, 1.789902
2015-08-07-19-00, 1.790945
2015-08-07-20-00, 1.790190
2015-08-07-21-00, 1.788222
2015-08-07-22-00, 1.787236
2015-08-07-23-00, 1.790217
2015-08-08-00-00, 0.527552
2015-08-08-01-00, 0.527559
2015-08-08-02-00, 0.527144
2015-08-08-03-00, 0.527097
2015-08-08-04-00, 0.527402
2015-08-08-05-00, 0.526092
2015-08-08-06-00, 0.524734
2015-08-08-07-00, 0.525741
2015-08-08-08-00, 0.525352
2015-08-08-09-00, 0.525353
2015-08-08-10-00, 0.525358
2015-08-08-11-00, 0.524294
2015-08-08-12-00, 0.520150
2015-08-08-13-00, 0.514740
2015-08-08-14-00, 0.513000
2015-08-08-15-00, 0.513156
2015-08-08-16-00, 0.515140
2015-08-08-17-00, 0.515030
2015-08-08-18-00, 0.513893
2015-08-08-19-00, 0.513805
2015-08-08-20-00, 0.513969
2015-08-08-21-00, 0.511881
2015-08-08-22-00, 0.507770
2015-08-08-23-00, 0.504055
2015-08-09-00-00, 0.495170
2015-08-09-01-00, 0.497001
2015-08-09-02-00, 0.496193
2015-08-09-03-00, 0.499775
2015-08-09-04-00, 0.498335
2015-08-09-05-00, 0.499131
2015-08-09-06-00, 0.496255
2015-08-09-07-00, 0.496381
2015-08-09-08-00, 0.496257
2015-08-09-09-00, 0.497495
2015-08-09-10-00, 0.498409
2015-08-09-11-00, 0.499288
2015-08-09-12-00, 0.499816
2015-08-09-13-00, 0.501463
2015-08-09-14-00, 0.502315
2015-08-09-15-00, 0.500370
2015-08-09-16-00, 0.499875
2015-08-09-17-00, 0.500111
2015-08-09-18-00, 0.499810
2015-08-09-19-00, 0.497184
2015-08-09-20-00, 0.496382
2015-08-09-21-00, 0.498201
2015-08-09-22-00, 0.500891
2015-08-09-23-00, 0.499490
2015-08-10-00-00, 0.444496
2015-08-10-01-00, 0.443516
2015-08-10-02-00, 0.444168
2015-08-10-03-00, 0.448281
2015-08-10-04-00, 0.445016
2015-08-10-05-00, 0.443489
2015-08-10-06-00, 0.443626
2015-08-10-07-00, 0.442871
2015-08-10-08-00, 0.444507
2015-08-10-09-00, 0.444942
2015-08-10-10-00, 0.443930
2015-08-10-11-00, 0.443115
2015-08-10-12-00, 0.443739
2015-08-10-13-00, 0.441288
2015-08-10-14-00, 0.441946
