BTC, EUR
2014-01-01-00-00, 510.930000
2014-01-01-01-00, 510.930000
2014-01-01-02-00, 489.000000
2014-01-01-03-00, 489.000000
2014-01-01-04-00, 489.000000
2014-01-01-05-00, 489.000000
2014-01-01-06-00, 489.000000
2014-01-01-07-00, 543.951309
2014-01-01-08-00, 574.840000
2014-01-01-09-00, 574.840000
2014-01-01-10-00, 580.084314
2014-01-01-11-00, 550.773343
2014-01-01-12-00, 550.773343
2014-01-01-13-00, 545.390000
2014-01-01-14-00, 617.344925
2014-01-01-15-00, 549.520000
2014-01-01-16-00, 568.791958
2014-01-01-17-00, 454.150000
2014-01-01-18-00, 500.000000
2014-01-01-19-00, 589.230000
2014-01-01-20-00, 589.230000
2014-01-01-21-00, 573.614923
2014-01-01-22-00, 565.013066
2014-01-01-23-00, 560.788893
2014-01-02-00-00, 550.250000
2014-01-02-01-00, 560.000000
2014-01-02-02-00, 648.390000
2014-01-02-03-00, 648.390000
2014-01-02-04-00, 648.390000
2014-01-02-05-00, 587.111287
2014-01-02-06-00, 587.111287
2014-01-02-07-00, 562.878469
2014-01-02-08-00, 552.746283
2014-01-02-09-00, 560.510573
2014-01-02-10-00, 562.121128
2014-01-02-11-00, 553.223386
2014-01-02-12-00, 559.931831
2014-01-02-13-00, 507.125755
2014-01-02-14-00, 551.104499
2014-01-02-15-00, 551.387121
2014-01-02-16-00, 654.262862
2014-01-02-17-00, 598.795998
2014-01-02-18-00, 570.442741
2014-01-02-19-00, 585.469724
2014-01-02-20-00, 637.667628
2014-01-02-21-00, 741.928004
2014-01-02-22-00, 570.000000
2014-01-02-23-00, 598.867616
2014-01-03-00-00, 598.867616
2014-01-03-01-00, 862.320000
2014-01-03-02-00, 862.320000
2014-01-03-03-00, 503.472390
2014-01-03-04-00, 503.472390
2014-01-03-05-00, 501.740000
2014-01-03-06-00, 559.250951
2014-01-03-07-00, 563.200000
2014-01-03-08-00, 572.320465
2014-01-03-09-00, 573.053048
2014-01-03-10-00, 586.149978
2014-01-03-11-00, 566.208005
2014-01-03-12-00, 553.100165
2014-01-03-13-00, 590.902989
2014-01-03-14-00, 520.704698
2014-01-03-15-00, 578.312809
2014-01-03-16-00, 568.120153
2014-01-03-17-00, 662.129481
2014-01-03-18-00, 619.054542
2014-01-03-19-00, 533.610071
2014-01-03-20-00, 675.354885
2014-01-03-21-00, 545.111741
2014-01-03-22-00, 768.970549
2014-01-03-23-00, 625.620000
2014-01-04-00-00, 564.190000
2014-01-04-01-00, 597.010000
2014-01-04-02-00, 542.110000
2014-01-04-03-00, 542.110000
2014-01-04-04-00, 542.110000
2014-01-04-05-00, 542.110000
2014-01-04-06-00, 530.697132
2014-01-04-07-00, 530.697132
2014-01-04-08-00, 530.697132
2014-01-04-09-00, 611.687048
2014-01-04-10-00, 526.390000
2014-01-04-11-00, 590.559655
2014-01-04-12-00, 714.018652
2014-01-04-13-00, 637.728636
2014-01-04-14-00, 588.149109
2014-01-04-15-00, 524.842218
2014-01-04-16-00, 654.733109
2014-01-04-17-00, 726.034609
2014-01-04-18-00, 702.037391
2014-01-04-19-00, 715.391636
2014-01-04-20-00, 911.661814
2014-01-04-21-00, 678.996855
2014-01-04-22-00, 602.120225
2014-01-04-23-00, 658.085009
2014-01-05-00-00, 609.072698
2014-01-05-01-00, 628.890000
2014-01-05-02-00, 628.890000
2014-01-05-03-00, 628.890000
2014-01-05-04-00, 628.890000
2014-01-05-05-00, 912.880000
2014-01-05-06-00, 912.880000
2014-01-05-07-00, 912.880000
2014-01-05-08-00, 912.880000
2014-01-05-09-00, 912.880000
2014-01-05-10-00, 631.150000
2014-01-05-11-00, 629.174070
2014-01-05-12-00, 626.550000
2014-01-05-13-00, 563.060000
2014-01-05-14-00, 644.460000
2014-01-05-15-00, 633.385265
2014-01-05-16-00, 781.169570
2014-01-05-17-00, 632.468638
2014-01-05-18-00, 669.311223
2014-01-05-19-00, 650.350000
2014-01-05-20-00, 696.106980
2014-01-05-21-00, 928.314622
2014-01-05-22-00, 1032.577500
2014-01-05-23-00, 1060.227818
2014-01-06-00-00, 1060.227818
2014-01-06-01-00, 1060.227818
2014-01-06-02-00, 1060.227818
2014-01-06-03-00, 1060.227818
2014-01-06-04-00, 1060.227818
2014-01-06-05-00, 672.977890
2014-01-06-06-00, 672.977890
2014-01-06-07-00, 672.977890
2014-01-06-08-00, 700.744018
2014-01-06-09-00, 634.340077
2014-01-06-10-00, 595.286351
2014-01-06-11-00, 652.784772
2014-01-06-12-00, 702.627898
2014-01-06-13-00, 637.008022
2014-01-06-14-00, 712.886925
2014-01-06-15-00, 632.647985
2014-01-06-16-00, 626.930526
2014-01-06-17-00, 723.654162
2014-01-06-18-00, 654.169349
2014-01-06-19-00, 690.999137
2014-01-06-20-00, 713.834104
2014-01-06-21-00, 683.582161
2014-01-06-22-00, 705.000000
2014-01-06-23-00, 679.267676
2014-01-07-00-00, 760.120000
2014-01-07-01-00, 760.120000
2014-01-07-02-00, 726.460471
2014-01-07-03-00, 593.230000
2014-01-07-04-00, 593.230000
2014-01-07-05-00, 593.230000
2014-01-07-06-00, 593.230000
2014-01-07-07-00, 627.722130
2014-01-07-08-00, 652.360709
2014-01-07-09-00, 673.300242
2014-01-07-10-00, 591.848475
2014-01-07-11-00, 721.518839
2014-01-07-12-00, 672.327384
2014-01-07-13-00, 633.512076
2014-01-07-14-00, 699.484203
2014-01-07-15-00, 654.847601
2014-01-07-16-00, 660.261987
2014-01-07-17-00, 630.550012
2014-01-07-18-00, 703.189581
2014-01-07-19-00, 636.814803
2014-01-07-20-00, 644.250017
2014-01-07-21-00, 751.158607
2014-01-07-22-00, 947.194618
2014-01-07-23-00, 947.194618
2014-01-08-00-00, 947.194618
2014-01-08-01-00, 613.336058
2014-01-08-02-00, 728.400000
2014-01-08-03-00, 728.400000
2014-01-08-04-00, 728.400000
2014-01-08-05-00, 728.400000
2014-01-08-06-00, 728.400000
2014-01-08-07-00, 758.472619
2014-01-08-08-00, 672.720642
2014-01-08-09-00, 645.130949
2014-01-08-10-00, 649.439077
2014-01-08-11-00, 640.215406
2014-01-08-12-00, 642.390333
2014-01-08-13-00, 625.351168
2014-01-08-14-00, 629.433512
2014-01-08-15-00, 614.030474
2014-01-08-16-00, 613.775330
2014-01-08-17-00, 612.194830
2014-01-08-18-00, 617.331273
2014-01-08-19-00, 620.695583
2014-01-08-20-00, 610.185405
2014-01-08-21-00, 619.711920
2014-01-08-22-00, 612.050802
2014-01-08-23-00, 608.116325
2014-01-09-00-00, 616.750055
2014-01-09-01-00, 618.658363
2014-01-09-02-00, 614.993444
2014-01-09-03-00, 726.258210
2014-01-09-04-00, 624.470945
2014-01-09-05-00, 582.020000
2014-01-09-06-00, 611.733439
2014-01-09-07-00, 621.694346
2014-01-09-08-00, 624.934871
2014-01-09-09-00, 632.144442
2014-01-09-10-00, 623.631746
2014-01-09-11-00, 686.420623
2014-01-09-12-00, 619.830693
2014-01-09-13-00, 605.997644
2014-01-09-14-00, 602.331622
2014-01-09-15-00, 609.891367
2014-01-09-16-00, 602.189761
2014-01-09-17-00, 606.518820
2014-01-09-18-00, 607.817028
2014-01-09-19-00, 604.717357
2014-01-09-20-00, 613.273362
2014-01-09-21-00, 617.371317
2014-01-09-22-00, 622.493993
2014-01-09-23-00, 621.629971
2014-01-10-00-00, 613.312749
2014-01-10-01-00, 612.504623
2014-01-10-02-00, 611.232701
2014-01-10-03-00, 590.862836
2014-01-10-04-00, 609.895636
2014-01-10-05-00, 606.510359
2014-01-10-06-00, 628.535089
2014-01-10-07-00, 613.158894
2014-01-10-08-00, 613.387744
2014-01-10-09-00, 617.060047
2014-01-10-10-00, 618.525347
2014-01-10-11-00, 622.379930
2014-01-10-12-00, 636.877567
2014-01-10-13-00, 627.569369
2014-01-10-14-00, 612.758913
2014-01-10-15-00, 608.313912
2014-01-10-16-00, 620.013431
2014-01-10-17-00, 619.318714
2014-01-10-18-00, 628.153364
2014-01-10-19-00, 605.390393
2014-01-10-20-00, 617.415990
2014-01-10-21-00, 623.720498
2014-01-10-22-00, 622.662832
2014-01-10-23-00, 623.374820
2014-01-11-00-00, 626.416044
2014-01-11-01-00, 633.017840
2014-01-11-02-00, 635.278436
2014-01-11-03-00, 629.522682
2014-01-11-04-00, 629.342090
2014-01-11-05-00, 630.121579
2014-01-11-06-00, 627.721642
2014-01-11-07-00, 633.977165
2014-01-11-08-00, 632.469562
2014-01-11-09-00, 634.945749
2014-01-11-10-00, 639.727198
2014-01-11-11-00, 649.771753
2014-01-11-12-00, 650.169392
2014-01-11-13-00, 653.961726
2014-01-11-14-00, 648.216859
2014-01-11-15-00, 650.858546
2014-01-11-16-00, 655.501855
2014-01-11-17-00, 652.074166
2014-01-11-18-00, 640.728143
2014-01-11-19-00, 648.893121
2014-01-11-20-00, 646.556600
2014-01-11-21-00, 651.523294
2014-01-11-22-00, 653.445643
2014-01-11-23-00, 651.313350
2014-01-12-00-00, 656.668010
2014-01-12-01-00, 653.512268
2014-01-12-02-00, 647.813815
2014-01-12-03-00, 653.088561
2014-01-12-04-00, 647.340316
2014-01-12-05-00, 647.052775
2014-01-12-06-00, 641.813554
2014-01-12-07-00, 635.650487
2014-01-12-08-00, 640.146818
2014-01-12-09-00, 642.879875
2014-01-12-10-00, 633.952336
2014-01-12-11-00, 625.974114
2014-01-12-12-00, 622.945735
2014-01-12-13-00, 628.295528
2014-01-12-14-00, 633.160043
2014-01-12-15-00, 630.368848
2014-01-12-16-00, 634.578236
2014-01-12-17-00, 633.122081
2014-01-12-18-00, 627.069614
2014-01-12-19-00, 631.127073
2014-01-12-20-00, 622.314530
2014-01-12-21-00, 634.686831
2014-01-12-22-00, 629.863307
2014-01-12-23-00, 631.382677
2014-01-13-00-00, 620.945500
2014-01-13-01-00, 625.247003
2014-01-13-02-00, 624.304250
2014-01-13-03-00, 624.555731
2014-01-13-04-00, 622.546903
2014-01-13-05-00, 616.768572
2014-01-13-06-00, 620.430142
2014-01-13-07-00, 617.215640
2014-01-13-08-00, 614.074144
2014-01-13-09-00, 618.009551
2014-01-13-10-00, 607.955639
2014-01-13-11-00, 607.258519
2014-01-13-12-00, 607.752882
2014-01-13-13-00, 599.473964
2014-01-13-14-00, 609.716304
2014-01-13-15-00, 608.003031
2014-01-13-16-00, 602.722805
2014-01-13-17-00, 601.072009
2014-01-13-18-00, 612.415784
2014-01-13-19-00, 624.856854
2014-01-13-20-00, 613.325607
2014-01-13-21-00, 616.905920
2014-01-13-22-00, 612.468792
2014-01-13-23-00, 615.062025
2014-01-14-00-00, 608.916438
2014-01-14-01-00, 607.948612
2014-01-14-02-00, 608.375306
2014-01-14-03-00, 618.539486
2014-01-14-04-00, 618.332083
2014-01-14-05-00, 618.332083
2014-01-14-06-00, 615.778457
2014-01-14-07-00, 620.840217
2014-01-14-08-00, 620.324720
2014-01-14-09-00, 619.250963
2014-01-14-10-00, 620.539944
2014-01-14-11-00, 625.324589
2014-01-14-12-00, 612.635750
2014-01-14-13-00, 610.586654
2014-01-14-14-00, 618.139188
2014-01-14-15-00, 629.180738
2014-01-14-16-00, 617.987775
2014-01-14-17-00, 609.146210
2014-01-14-18-00, 613.697495
2014-01-14-19-00, 607.945450
2014-01-14-20-00, 607.605807
2014-01-14-21-00, 614.795272
2014-01-14-22-00, 609.620878
2014-01-14-23-00, 612.633950
2014-01-15-00-00, 608.319924
2014-01-15-01-00, 610.248093
