BTC, GBP
2014-01-01-00-00, 424.246127
2014-01-01-01-00, 424.246127
2014-01-01-02-00, 406.036749
2014-01-01-03-00, 406.036749
2014-01-01-04-00, 406.036749
2014-01-01-05-00, 406.036749
2014-01-01-06-00, 406.036749
2014-01-01-07-00, 451.665074
2014-01-01-08-00, 477.313220
2014-01-01-09-00, 477.313220
2014-01-01-10-00, 481.667789
2014-01-01-11-00, 457.329688
2014-01-01-12-00, 457.329688
2014-01-01-13-00, 452.859678
2014-01-01-14-00, 512.606802
2014-01-01-15-00, 456.288986
2014-01-01-16-00, 472.291283
2014-01-01-17-00, 377.099365
2014-01-01-18-00, 415.170500
2014-01-01-19-00, 489.261827
2014-01-01-20-00, 489.261827
2014-01-01-21-00, 476.295989
2014-01-01-22-00, 469.153514
2014-01-01-23-00, 465.646010
2014-01-02-00-00, 457.143848
2014-01-02-01-00, 465.244080
2014-01-02-02-00, 538.677873
2014-01-02-03-00, 538.677873
2014-01-02-04-00, 538.677873
2014-01-02-05-00, 487.767947
2014-01-02-06-00, 487.767947
2014-01-02-07-00, 467.635492
2014-01-02-08-00, 459.217743
2014-01-02-09-00, 465.668260
2014-01-02-10-00, 467.006298
2014-01-02-11-00, 459.614117
2014-01-02-12-00, 465.187446
2014-01-02-13-00, 421.316527
2014-01-02-14-00, 457.853760
2014-01-02-15-00, 458.088560
2014-01-02-16-00, 543.557006
2014-01-02-17-00, 497.475524
2014-01-02-18-00, 473.919836
2014-01-02-19-00, 486.404148
2014-01-02-20-00, 529.769802
2014-01-02-21-00, 616.388592
2014-01-02-22-00, 473.552010
2014-01-02-23-00, 497.535023
2014-01-03-00-00, 495.765369
2014-01-03-01-00, 713.861264
2014-01-03-02-00, 713.861264
2014-01-03-03-00, 416.793576
2014-01-03-04-00, 416.793576
2014-01-03-05-00, 415.359438
2014-01-03-06-00, 462.969189
2014-01-03-07-00, 466.238362
2014-01-03-08-00, 473.788629
2014-01-03-09-00, 474.395089
2014-01-03-10-00, 485.237225
2014-01-03-11-00, 468.728502
2014-01-03-12-00, 457.877334
2014-01-03-13-00, 489.171949
2014-01-03-14-00, 431.059136
2014-01-03-15-00, 478.749319
2014-01-03-16-00, 470.311451
2014-01-03-17-00, 548.135945
2014-01-03-18-00, 512.476874
2014-01-03-19-00, 441.742694
2014-01-03-20-00, 559.084437
2014-01-03-21-00, 451.264213
2014-01-03-22-00, 636.583041
2014-01-03-23-00, 517.912010
2014-01-04-00-00, 467.053972
2014-01-04-01-00, 494.223385
2014-01-04-02-00, 448.775463
2014-01-04-03-00, 448.775463
2014-01-04-04-00, 448.775463
2014-01-04-05-00, 448.775463
2014-01-04-06-00, 439.327537
2014-01-04-07-00, 439.327537
2014-01-04-08-00, 439.327537
2014-01-04-09-00, 506.373501
2014-01-04-10-00, 435.761960
2014-01-04-11-00, 488.883590
2014-01-04-12-00, 591.086775
2014-01-04-13-00, 527.931534
2014-01-04-14-00, 486.888065
2014-01-04-15-00, 434.480658
2014-01-04-16-00, 542.008364
2014-01-04-17-00, 601.033956
2014-01-04-18-00, 581.168315
2014-01-04-19-00, 592.223373
2014-01-04-20-00, 754.701911
2014-01-04-21-00, 562.094645
2014-01-04-22-00, 498.453788
2014-01-04-23-00, 544.783171
2014-01-05-00-00, 504.724536
2014-01-05-01-00, 521.146679
2014-01-05-02-00, 521.146679
2014-01-05-03-00, 521.146679
2014-01-05-04-00, 521.146679
2014-01-05-05-00, 756.482660
2014-01-05-06-00, 756.482660
2014-01-05-07-00, 756.482660
