BTC, GBP
2014-01-01-00-00, 469.519139
2014-01-01-01-00, 467.133802
2014-01-01-02-00, 461.422264
2014-01-01-03-00, 472.830000
2014-01-01-04-00, 476.444671
2014-01-01-05-00, 476.444671
2014-01-01-06-00, 481.630000
2014-01-01-07-00, 481.630000
2014-01-01-08-00, 481.630000
2014-01-01-09-00, 472.982652
2014-01-01-10-00, 472.770000
2014-01-01-11-00, 469.281275
2014-01-01-12-00, 458.637931
2014-01-01-13-00, 454.397438
2014-01-01-14-00, 461.616705
2014-01-01-15-00, 468.031238
2014-01-01-16-00, 454.231608
2014-01-01-17-00, 447.382176
2014-01-01-18-00, 468.252454
2014-01-01-19-00, 456.834206
2014-01-01-20-00, 464.145971
2014-01-01-21-00, 464.487778
2014-01-01-22-00, 466.154353
2014-01-01-23-00, 453.574297
2014-01-02-00-00, 454.352770
2014-01-02-01-00, 450.582328
2014-01-02-02-00, 471.965868
2014-01-02-03-00, 472.814301
2014-01-02-04-00, 472.814301
2014-01-02-05-00, 458.375343
2014-01-02-06-00, 477.528864
2014-01-02-07-00, 461.202350
2014-01-02-08-00, 461.402246
2014-01-02-09-00, 459.596397
2014-01-02-10-00, 461.385644
2014-01-02-11-00, 462.649552
2014-01-02-12-00, 450.842640
2014-01-02-13-00, 461.188845
2014-01-02-14-00, 466.983238
2014-01-02-15-00, 465.857185
2014-01-02-16-00, 460.059675
2014-01-02-17-00, 471.170179
2014-01-02-18-00, 467.817201
2014-01-02-19-00, 458.871067
2014-01-02-20-00, 476.918937
2014-01-02-21-00, 487.142349
2014-01-02-22-00, 487.369672
2014-01-02-23-00, 483.808265
2014-01-03-00-00, 488.702916
2014-01-03-01-00, 478.519014
2014-01-03-02-00, 484.118979
2014-01-03-03-00, 495.394220
2014-01-03-04-00, 548.625881
2014-01-03-05-00, 548.625881
2014-01-03-06-00, 485.317466
2014-01-03-07-00, 485.317466
2014-01-03-08-00, 483.496205
2014-01-03-09-00, 495.178526
2014-01-03-10-00, 497.511827
2014-01-03-11-00, 501.742984
2014-01-03-12-00, 492.090819
2014-01-03-13-00, 498.126403
2014-01-03-14-00, 495.033618
2014-01-03-15-00, 505.199163
2014-01-03-16-00, 500.624989
2014-01-03-17-00, 495.679281
2014-01-03-18-00, 504.306341
2014-01-03-19-00, 493.272728
2014-01-03-20-00, 491.772785
2014-01-03-21-00, 495.597574
2014-01-03-22-00, 504.963114
2014-01-03-23-00, 505.228765
2014-01-04-00-00, 494.242523
2014-01-04-01-00, 510.856671
2014-01-04-02-00, 486.858223
2014-01-04-03-00, 508.950347
2014-01-04-04-00, 508.840000
2014-01-04-05-00, 509.750000
2014-01-04-06-00, 502.149131
2014-01-04-07-00, 500.265751
2014-01-04-08-00, 512.863934
2014-01-04-09-00, 516.869680
2014-01-04-10-00, 509.520845
2014-01-04-11-00, 504.355493
2014-01-04-12-00, 498.590440
2014-01-04-13-00, 498.201235
2014-01-04-14-00, 502.302375
2014-01-04-15-00, 484.625261
2014-01-04-16-00, 490.580422
2014-01-04-17-00, 521.901596
2014-01-04-18-00, 512.329040
2014-01-04-19-00, 513.633024
2014-01-04-20-00, 517.762928
2014-01-04-21-00, 522.034555
2014-01-04-22-00, 525.070294
2014-01-04-23-00, 513.024899
2014-01-05-00-00, 519.824830
2014-01-05-01-00, 522.089396
2014-01-05-02-00, 528.816304
2014-01-05-03-00, 506.450000
2014-01-05-04-00, 534.265259
2014-01-05-05-00, 525.220246
2014-01-05-06-00, 532.550000
2014-01-05-07-00, 520.909737
2014-01-05-08-00, 527.480993
2014-01-05-09-00, 519.752128
2014-01-05-10-00, 529.459409
2014-01-05-11-00, 524.049266
2014-01-05-12-00, 522.310090
2014-01-05-13-00, 530.892783
2014-01-05-14-00, 539.086709
2014-01-05-15-00, 560.943054
2014-01-05-16-00, 553.748989
2014-01-05-17-00, 575.266351
2014-01-05-18-00, 563.018262
2014-01-05-19-00, 577.164345
2014-01-05-20-00, 567.943921
2014-01-05-21-00, 583.548088
2014-01-05-22-00, 578.346100
2014-01-05-23-00, 575.537183
2014-01-06-00-00, 590.295637
2014-01-06-01-00, 574.286555
2014-01-06-02-00, 592.026449
2014-01-06-03-00, 585.005029
2014-01-06-04-00, 597.170000
2014-01-06-05-00, 597.768508
2014-01-06-06-00, 586.086654
2014-01-06-07-00, 568.534530
2014-01-06-08-00, 614.564743
2014-01-06-09-00, 629.554512
2014-01-06-10-00, 626.878569
2014-01-06-11-00, 625.466162
2014-01-06-12-00, 617.862709
2014-01-06-13-00, 608.017972
2014-01-06-14-00, 605.983773
2014-01-06-15-00, 607.225596
2014-01-06-16-00, 596.602987
2014-01-06-17-00, 591.265531
2014-01-06-18-00, 599.469464
2014-01-06-19-00, 612.067173
2014-01-06-20-00, 596.584249
2014-01-06-21-00, 591.504924
2014-01-06-22-00, 598.761256
2014-01-06-23-00, 592.431149
2014-01-07-00-00, 587.079463
2014-01-07-01-00, 602.181613
2014-01-07-02-00, 613.186859
2014-01-07-03-00, 610.000000
2014-01-07-04-00, 576.820000
2014-01-07-05-00, 611.628972
2014-01-07-06-00, 585.130000
2014-01-07-07-00, 583.599709
2014-01-07-08-00, 580.836153
2014-01-07-09-00, 585.060033
2014-01-07-10-00, 590.610093
2014-01-07-11-00, 580.773547
2014-01-07-12-00, 582.481804
2014-01-07-13-00, 575.999362
2014-01-07-14-00, 578.469632
2014-01-07-15-00, 578.828107
2014-01-07-16-00, 575.708836
2014-01-07-17-00, 572.811893
2014-01-07-18-00, 568.719221
2014-01-07-19-00, 564.285214
2014-01-07-20-00, 568.001005
2014-01-07-21-00, 565.858234
2014-01-07-22-00, 544.947031
2014-01-07-23-00, 546.114767
2014-01-08-00-00, 520.794724
2014-01-08-01-00, 532.283164
2014-01-08-02-00, 550.913724
2014-01-08-03-00, 567.159471
2014-01-08-04-00, 567.960000
2014-01-08-05-00, 577.524290
2014-01-08-06-00, 577.524290
2014-01-08-07-00, 537.512564
2014-01-08-08-00, 535.294462
2014-01-08-09-00, 552.244659
2014-01-08-10-00, 549.851845
2014-01-08-11-00, 548.571727
2014-01-08-12-00, 532.740450
2014-01-08-13-00, 531.347232
2014-01-08-14-00, 523.979210
2014-01-08-15-00, 531.795447
2014-01-08-16-00, 515.075527
2014-01-08-17-00, 524.269374
2014-01-08-18-00, 520.548447
