BTC, GBP
2014-01-01-00-00, 445.974479
2014-01-01-01-00, 448.978785
2014-01-01-02-00, 451.965160
2014-01-01-03-00, 449.819575
2014-01-01-04-00, 451.555596
2014-01-01-05-00, 451.636085
2014-01-01-06-00, 451.270189
2014-01-01-07-00, 451.889561
2014-01-01-08-00, 450.646993
2014-01-01-09-00, 447.400270
2014-01-01-10-00, 446.363225
2014-01-01-11-00, 446.196332
2014-01-01-12-00, 450.524637
2014-01-01-13-00, 450.263422
2014-01-01-14-00, 449.056013
2014-01-01-15-00, 448.897671
2014-01-01-16-00, 448.917642
2014-01-01-17-00, 449.817225
2014-01-01-18-00, 450.565181
2014-01-01-19-00, 451.545377
2014-01-01-20-00, 452.328366
2014-01-01-21-00, 453.946610
2014-01-01-22-00, 454.057763
2014-01-01-23-00, 453.560869
2014-01-02-00-00, 456.049204
2014-01-02-01-00, 455.796417
2014-01-02-02-00, 455.444828
2014-01-02-03-00, 454.249820
2014-01-02-04-00, 453.943740
2014-01-02-05-00, 453.891941
2014-01-02-06-00, 453.140360
2014-01-02-07-00, 453.517500
2014-01-02-08-00, 455.049152
2014-01-02-09-00, 458.442236
2014-01-02-10-00, 458.471427
2014-01-02-11-00, 460.128850
2014-01-02-12-00, 459.611776
2014-01-02-13-00, 457.828996
2014-01-02-14-00, 457.088699
2014-01-02-15-00, 457.786902
2014-01-02-16-00, 459.536115
2014-01-02-17-00, 461.147435
2014-01-02-18-00, 464.222293
2014-01-02-19-00, 470.855570
2014-01-02-20-00, 476.891044
2014-01-02-21-00, 480.858872
2014-01-02-22-00, 476.121284
2014-01-02-23-00, 476.549752
2014-01-03-00-00, 476.592331
2014-01-03-01-00, 472.437433
2014-01-03-02-00, 470.716597
2014-01-03-03-00, 471.638215
2014-01-03-04-00, 474.435301
2014-01-03-05-00, 474.861917
2014-01-03-06-00, 475.675359
2014-01-03-07-00, 478.231688
2014-01-03-08-00, 482.596492
2014-01-03-09-00, 488.385850
2014-01-03-10-00, 491.230677
2014-01-03-11-00, 491.146742
2014-01-03-12-00, 494.081490
2014-01-03-13-00, 495.429010
2014-01-03-14-00, 493.461556
2014-01-03-15-00, 493.394118
2014-01-03-16-00, 491.255080
2014-01-03-17-00, 487.870180
2014-01-03-18-00, 486.807567
2014-01-03-19-00, 485.665748
2014-01-03-20-00, 487.282541
2014-01-03-21-00, 488.247480
2014-01-03-22-00, 491.372212
2014-01-03-23-00, 489.802989
2014-01-04-00-00, 488.147092
2014-01-04-01-00, 487.649849
2014-01-04-02-00, 488.551470
2014-01-04-03-00, 486.848468
2014-01-04-04-00, 484.284857
2014-01-04-05-00, 485.600815
2014-01-04-06-00, 491.868840
2014-01-04-07-00, 491.145593
2014-01-04-08-00, 493.947263
2014-01-04-09-00, 493.066903
2014-01-04-10-00, 492.442167
2014-01-04-11-00, 492.172276
2014-01-04-12-00, 491.799578
2014-01-04-13-00, 489.642501
2014-01-04-14-00, 492.024213
2014-01-04-15-00, 498.603432
2014-01-04-16-00, 499.952438
2014-01-04-17-00, 501.766959
2014-01-04-18-00, 501.692706
2014-01-04-19-00, 502.565584
2014-01-04-20-00, 501.409701
2014-01-04-21-00, 501.671482
2014-01-04-22-00, 504.851337
2014-01-04-23-00, 507.447170
2014-01-05-00-00, 509.396128
2014-01-05-01-00, 506.692492
2014-01-05-02-00, 506.672823
2014-01-05-03-00, 509.009277
2014-01-05-04-00, 511.913923
2014-01-05-05-00, 510.342775
2014-01-05-06-00, 509.520521
2014-01-05-07-00, 511.432490
2014-01-05-08-00, 512.417820
2014-01-05-09-00, 512.738392
2014-01-05-10-00, 511.639606
2014-01-05-11-00, 515.405190
2014-01-05-12-00, 516.537223
2014-01-05-13-00, 525.284513
2014-01-05-14-00, 536.333550
2014-01-05-15-00, 545.957996
2014-01-05-16-00, 546.872623
2014-01-05-17-00, 547.147060
2014-01-05-18-00, 558.153390
2014-01-05-19-00, 563.796175
2014-01-05-20-00, 560.957033
2014-01-05-21-00, 554.228009
2014-01-05-22-00, 550.570563
2014-01-05-23-00, 551.762522
2014-01-06-00-00, 554.181866
2014-01-06-01-00, 558.637443
2014-01-06-02-00, 565.927047
2014-01-06-03-00, 573.205816
2014-01-06-04-00, 574.623460
2014-01-06-05-00, 581.951133
2014-01-06-06-00, 584.733735
2014-01-06-07-00, 587.454525
2014-01-06-08-00, 596.879145
2014-01-06-09-00, 600.104647
2014-01-06-10-00, 594.875946
2014-01-06-11-00, 582.023405
2014-01-06-12-00, 570.899898
2014-01-06-13-00, 566.186416
2014-01-06-14-00, 560.732950
2014-01-06-15-00, 551.217701
2014-01-06-16-00, 553.549580
2014-01-06-17-00, 563.929741
2014-01-06-18-00, 565.300712
2014-01-06-19-00, 563.973699
2014-01-06-20-00, 568.685096
2014-01-06-21-00, 565.949376
2014-01-06-22-00, 557.914686
2014-01-06-23-00, 556.527797
2014-01-07-00-00, 563.793726
2014-01-07-01-00, 569.559907
2014-01-07-02-00, 570.449461
2014-01-07-03-00, 566.337408
2014-01-07-04-00, 565.581626
2014-01-07-05-00, 556.439765
2014-01-07-06-00, 554.738045
2014-01-07-07-00, 555.482871
2014-01-07-08-00, 554.448816
2014-01-07-09-00, 552.075302
2014-01-07-10-00, 546.817186
2014-01-07-11-00, 537.242794
2014-01-07-12-00, 526.930923
2014-01-07-13-00, 526.762230
2014-01-07-14-00, 536.534274
2014-01-07-15-00, 541.155873
2014-01-07-16-00, 538.715275
2014-01-07-17-00, 527.705401
2014-01-07-18-00, 515.412221
2014-01-07-19-00, 512.817308
2014-01-07-20-00, 511.084115
2014-01-07-21-00, 499.151452
2014-01-07-22-00, 491.830197
2014-01-07-23-00, 481.227690
2014-01-08-00-00, 477.744333
2014-01-08-01-00, 493.315132
2014-01-08-02-00, 502.697211
2014-01-08-03-00, 498.951979
2014-01-08-04-00, 492.397373
2014-01-08-05-00, 488.359888
2014-01-08-06-00, 486.940350
2014-01-08-07-00, 489.063375
2014-01-08-08-00, 496.431866
2014-01-08-09-00, 504.370797
2014-01-08-10-00, 509.024801
2014-01-08-11-00, 507.654174
2014-01-08-12-00, 502.939239
2014-01-08-13-00, 495.232761
2014-01-08-14-00, 490.819706
2014-01-08-15-00, 485.066185
2014-01-08-16-00, 489.391893
2014-01-08-17-00, 496.986490
2014-01-08-18-00, 498.843369
2014-01-08-19-00, 492.965694
2014-01-08-20-00, 495.419549
2014-01-08-21-00, 495.389894
2014-01-08-22-00, 497.812966
2014-01-08-23-00, 503.945583
2014-01-09-00-00, 503.057812
2014-01-09-01-00, 499.198777
2014-01-09-02-00, 495.827239
2014-01-09-03-00, 499.311032
2014-01-09-04-00, 500.954716
2014-01-09-05-00, 504.725529
2014-01-09-06-00, 506.123118
2014-01-09-07-00, 508.024062
2014-01-09-08-00, 509.551746
2014-01-09-09-00, 508.497453
2014-01-09-10-00, 499.784766
2014-01-09-11-00, 494.546835
2014-01-09-12-00, 489.417770
2014-01-09-13-00, 484.371089
2014-01-09-14-00, 483.981523
2014-01-09-15-00, 488.391711
2014-01-09-16-00, 493.098865
2014-01-09-17-00, 485.647788
2014-01-09-18-00, 481.065885
2014-01-09-19-00, 492.358623
2014-01-09-20-00, 500.626362
2014-01-09-21-00, 503.917040
2014-01-09-22-00, 506.911988
2014-01-09-23-00, 504.550514
2014-01-10-00-00, 495.925121
2014-01-10-01-00, 489.831903
2014-01-10-02-00, 493.361450
2014-01-10-03-00, 494.621363
2014-01-10-04-00, 492.184490
2014-01-10-05-00, 489.916988
2014-01-10-06-00, 493.067992
2014-01-10-07-00, 495.525019
2014-01-10-08-00, 498.617826
2014-01-10-09-00, 498.829231
2014-01-10-10-00, 497.619286
2014-01-10-11-00, 497.762537
2014-01-10-12-00, 498.295133
2014-01-10-13-00, 497.651854
2014-01-10-14-00, 497.221722
2014-01-10-15-00, 500.590492
2014-01-10-16-00, 501.897134
2014-01-10-17-00, 503.498735
2014-01-10-18-00, 504.381360
2014-01-10-19-00, 504.910603
2014-01-10-20-00, 504.817199
2014-01-10-21-00, 513.408927
2014-01-10-22-00, 515.827403
2014-01-10-23-00, 516.547827
2014-01-11-00-00, 522.572109
2014-01-11-01-00, 527.860696
2014-01-11-02-00, 527.686099
2014-01-11-03-00, 525.064621
2014-01-11-04-00, 523.104384
2014-01-11-05-00, 520.877812
2014-01-11-06-00, 519.443836
2014-01-11-07-00, 523.314762
2014-01-11-08-00, 525.311990
2014-01-11-09-00, 529.870953
2014-01-11-10-00, 539.611492
2014-01-11-11-00, 542.543567
2014-01-11-12-00, 541.950879
2014-01-11-13-00, 539.181269
2014-01-11-14-00, 538.130266
2014-01-11-15-00, 542.020965
2014-01-11-16-00, 545.286997
2014-01-11-17-00, 539.121137
2014-01-11-18-00, 537.986185
2014-01-11-19-00, 536.600995
2014-01-11-20-00, 536.185893
2014-01-11-21-00, 538.012195
2014-01-11-22-00, 540.248866
2014-01-11-23-00, 542.555364
2014-01-12-00-00, 543.999297
2014-01-12-01-00, 539.188357
2014-01-12-02-00, 537.218877
2014-01-12-03-00, 535.777585
2014-01-12-04-00, 534.479635
2014-01-12-05-00, 532.745147
2014-01-12-06-00, 529.164069
2014-01-12-07-00, 529.292045
2014-01-12-08-00, 530.087099
2014-01-12-09-00, 527.130972
2014-01-12-10-00, 520.238001
2014-01-12-11-00, 513.166664
2014-01-12-12-00, 507.607038
2014-01-12-13-00, 510.274636
2014-01-12-14-00, 516.926951
2014-01-12-15-00, 520.716084
2014-01-12-16-00, 521.335161
2014-01-12-17-00, 519.733325
2014-01-12-18-00, 517.162746
2014-01-12-19-00, 520.643419
2014-01-12-20-00, 517.741853
2014-01-12-21-00, 515.758201
2014-01-12-22-00, 512.999833
2014-01-12-23-00, 505.196456
2014-01-13-00-00, 507.913997
2014-01-13-01-00, 509.960936
2014-01-13-02-00, 510.404708
2014-01-13-03-00, 509.241088
2014-01-13-04-00, 502.179373
2014-01-13-05-00, 499.490762
2014-01-13-06-00, 499.781075
2014-01-13-07-00, 499.436596
2014-01-13-08-00, 498.288027
2014-01-13-09-00, 501.160122
2014-01-13-10-00, 496.652232
2014-01-13-11-00, 496.025497
2014-01-13-12-00, 488.735208
2014-01-13-13-00, 486.638501
2014-01-13-14-00, 491.872717
2014-01-13-15-00, 494.767512
2014-01-13-16-00, 491.994784
2014-01-13-17-00, 492.648680
2014-01-13-18-00, 494.234996
2014-01-13-19-00, 493.909557
2014-01-13-20-00, 498.933709
2014-01-13-21-00, 501.405614
2014-01-13-22-00, 504.260762
2014-01-13-23-00, 501.763683
2014-01-14-00-00, 499.352035
2014-01-14-01-00, 499.352529
2014-01-14-02-00, 501.451363
2014-01-14-03-00, 502.362988
2014-01-14-04-00, 503.844983
2014-01-14-05-00, 504.929940
2014-01-14-06-00, 504.193000
2014-01-14-07-00, 504.948574
2014-01-14-08-00, 506.576449
2014-01-14-09-00, 501.043452
2014-01-14-10-00, 500.298030
2014-01-14-11-00, 498.489850
2014-01-14-12-00, 494.589139
2014-01-14-13-00, 492.185726
2014-01-14-14-00, 499.838597
2014-01-14-15-00, 500.120456
2014-01-14-16-00, 501.471048
2014-01-14-17-00, 500.141347
2014-01-14-18-00, 498.000738
2014-01-14-19-00, 499.635631
2014-01-14-20-00, 499.606635
2014-01-14-21-00, 498.183815
2014-01-14-22-00, 497.666357
2014-01-14-23-00, 494.457938
2014-01-15-00-00, 499.330844
2014-01-15-01-00, 500.578640
2014-01-15-02-00, 499.502279
2014-01-15-03-00, 500.990462
2014-01-15-04-00, 504.964627
2014-01-15-05-00, 508.661489
2014-01-15-06-00, 510.323731
2014-01-15-07-00, 509.322737
2014-01-15-08-00, 510.500457
2014-01-15-09-00, 513.293054
2014-01-15-10-00, 513.973270
2014-01-15-11-00, 511.509236
2014-01-15-12-00, 508.617013
2014-01-15-13-00, 509.459268
2014-01-15-14-00, 513.526523
2014-01-15-15-00, 517.014123
2014-01-15-16-00, 516.105722
2014-01-15-17-00, 514.718337
2014-01-15-18-00, 516.953749
2014-01-15-19-00, 513.668316
2014-01-15-20-00, 512.506124
2014-01-15-21-00, 511.837996
2014-01-15-22-00, 514.166515
2014-01-15-23-00, 514.096452
2014-01-16-00-00, 516.500177
2014-01-16-01-00, 515.752086
2014-01-16-02-00, 515.206563
2014-01-16-03-00, 513.952136
2014-01-16-04-00, 512.936589
2014-01-16-05-00, 516.189039
2014-01-16-06-00, 517.531357
2014-01-16-07-00, 516.484703
2014-01-16-08-00, 515.859933
2014-01-16-09-00, 513.883058
2014-01-16-10-00, 511.395775
2014-01-16-11-00, 508.390098
2014-01-16-12-00, 505.196791
2014-01-16-13-00, 504.120632
2014-01-16-14-00, 506.116771
2014-01-16-15-00, 507.822714
2014-01-16-16-00, 506.056389
2014-01-16-17-00, 504.397003
2014-01-16-18-00, 504.081146
2014-01-16-19-00, 502.774687
2014-01-16-20-00, 500.553043
2014-01-16-21-00, 500.200319
2014-01-16-22-00, 499.830392
2014-01-16-23-00, 496.407361
2014-01-17-00-00, 494.422320
2014-01-17-01-00, 496.520572
2014-01-17-02-00, 495.446657
2014-01-17-03-00, 490.272848
2014-01-17-04-00, 488.927703
2014-01-17-05-00, 490.925462
2014-01-17-06-00, 492.578225
2014-01-17-07-00, 496.192447
2014-01-17-08-00, 493.229330
2014-01-17-09-00, 493.817488
2014-01-17-10-00, 488.262132
2014-01-17-11-00, 486.206942
2014-01-17-12-00, 486.830330
2014-01-17-13-00, 484.555803
2014-01-17-14-00, 481.106642
2014-01-17-15-00, 480.229982
2014-01-17-16-00, 482.840871
2014-01-17-17-00, 480.748020
2014-01-17-18-00, 475.895135
2014-01-17-19-00, 473.339444
2014-01-17-20-00, 475.913831
2014-01-17-21-00, 481.886116
2014-01-17-22-00, 484.156142
2014-01-17-23-00, 486.502654
2014-01-18-00-00, 490.397578
2014-01-18-01-00, 491.208203
2014-01-18-02-00, 489.291715
2014-01-18-03-00, 490.556244
2014-01-18-04-00, 491.436727
2014-01-18-05-00, 493.459360
2014-01-18-06-00, 494.078806
2014-01-18-07-00, 492.987388
2014-01-18-08-00, 492.575864
2014-01-18-09-00, 495.070282
2014-01-18-10-00, 494.790292
2014-01-18-11-00, 496.091337
2014-01-18-12-00, 494.903392
2014-01-18-13-00, 495.170607
2014-01-18-14-00, 491.250236
2014-01-18-15-00, 488.302913
2014-01-18-16-00, 487.953881
2014-01-18-17-00, 488.768822
2014-01-18-18-00, 491.560050
2014-01-18-19-00, 493.341779
2014-01-18-20-00, 490.090360
2014-01-18-21-00, 490.059098
2014-01-18-22-00, 493.157518
2014-01-18-23-00, 494.591398
2014-01-19-00-00, 493.800161
2014-01-19-01-00, 494.538406
2014-01-19-02-00, 488.702259
2014-01-19-03-00, 486.845802
2014-01-19-04-00, 485.864792
2014-01-19-05-00, 485.029643
2014-01-19-06-00, 488.053719
2014-01-19-07-00, 488.293257
2014-01-19-08-00, 490.163626
2014-01-19-09-00, 491.351925
2014-01-19-10-00, 491.929785
2014-01-19-11-00, 493.560722
2014-01-19-12-00, 494.988223
2014-01-19-13-00, 498.769250
2014-01-19-14-00, 501.103927
2014-01-19-15-00, 506.203689
2014-01-19-16-00, 504.954991
2014-01-19-17-00, 505.053409
2014-01-19-18-00, 504.308076
2014-01-19-19-00, 503.403897
2014-01-19-20-00, 503.978545
2014-01-19-21-00, 504.733191
2014-01-19-22-00, 509.115208
2014-01-19-23-00, 509.900450
2014-01-20-00-00, 508.745762
2014-01-20-01-00, 509.389996
2014-01-20-02-00, 513.069411
2014-01-20-03-00, 510.902472
2014-01-20-04-00, 509.706623
2014-01-20-05-00, 509.744900
2014-01-20-06-00, 509.671587
2014-01-20-07-00, 509.043271
2014-01-20-08-00, 509.228373
2014-01-20-09-00, 508.266119
2014-01-20-10-00, 507.540789
2014-01-20-11-00, 503.615815
2014-01-20-12-00, 503.546953
2014-01-20-13-00, 503.406973
2014-01-20-14-00, 498.804811
2014-01-20-15-00, 498.803270
2014-01-20-16-00, 503.195364
2014-01-20-17-00, 504.864856
2014-01-20-18-00, 504.890803
2014-01-20-19-00, 505.225261
2014-01-20-20-00, 506.347635
2014-01-20-21-00, 506.076138
2014-01-20-22-00, 505.226215
2014-01-20-23-00, 504.441587
2014-01-21-00-00, 500.634926
2014-01-21-01-00, 502.295321
2014-01-21-02-00, 501.509586
2014-01-21-03-00, 499.944455
2014-01-21-04-00, 500.414444
2014-01-21-05-00, 499.833490
2014-01-21-06-00, 498.748972
2014-01-21-07-00, 497.427992
2014-01-21-08-00, 496.848572
2014-01-21-09-00, 495.872695
2014-01-21-10-00, 496.042905
2014-01-21-11-00, 497.484606
2014-01-21-12-00, 498.087668
2014-01-21-13-00, 498.881292
