BTC, USD
2014-01-01-00-00, 738.782991
2014-01-01-01-00, 743.759801
2014-01-01-02-00, 748.706907
2014-01-01-03-00, 745.152619
2014-01-01-04-00, 748.028440
2014-01-01-05-00, 748.161775
2014-01-01-06-00, 747.555647
2014-01-01-07-00, 748.581672
2014-01-01-08-00, 746.523285
2014-01-01-09-00, 741.144898
2014-01-01-10-00, 739.426971
2014-01-01-11-00, 739.150503
2014-01-01-12-00, 746.320595
2014-01-01-13-00, 745.887878
2014-01-01-14-00, 743.887733
2014-01-01-15-00, 743.625431
2014-01-01-16-00, 743.658514
2014-01-01-17-00, 745.148726
2014-01-01-18-00, 746.387759
2014-01-01-19-00, 748.011512
2014-01-01-20-00, 749.308579
2014-01-01-21-00, 751.989295
2014-01-01-22-00, 752.173427
2014-01-01-23-00, 751.350293
2014-01-02-00-00, 749.995813
2014-01-02-01-00, 749.580092
2014-01-02-02-00, 749.001887
2014-01-02-03-00, 747.036635
2014-01-02-04-00, 746.533271
2014-01-02-05-00, 746.448085
2014-01-02-06-00, 745.212073
2014-01-02-07-00, 745.832298
2014-01-02-08-00, 748.351177
2014-01-02-09-00, 753.931275
2014-01-02-10-00, 753.979280
2014-01-02-11-00, 756.704995
2014-01-02-12-00, 755.854641
2014-01-02-13-00, 752.922770
2014-01-02-14-00, 751.705315
2014-01-02-15-00, 752.853545
2014-01-02-16-00, 755.730213
2014-01-02-17-00, 758.380110
2014-01-02-18-00, 763.436869
2014-01-02-19-00, 774.345625
2014-01-02-20-00, 784.271265
2014-01-02-21-00, 790.796558
2014-01-02-22-00, 783.005356
2014-01-02-23-00, 783.709994
2014-01-03-00-00, 782.398109
2014-01-03-01-00, 775.577218
2014-01-03-02-00, 772.752206
2014-01-03-03-00, 774.265181
2014-01-03-04-00, 778.857019
2014-01-03-05-00, 779.557373
2014-01-03-06-00, 780.892760
2014-01-03-07-00, 785.089360
2014-01-03-08-00, 792.254843
2014-01-03-09-00, 801.758947
2014-01-03-10-00, 806.429159
2014-01-03-11-00, 806.291367
2014-01-03-12-00, 811.109198
2014-01-03-13-00, 813.321354
2014-01-03-14-00, 810.091482
2014-01-03-15-00, 809.980773
2014-01-03-16-00, 806.469220
2014-01-03-17-00, 800.912397
2014-01-03-18-00, 799.167958
2014-01-03-19-00, 797.293489
2014-01-03-20-00, 799.947698
2014-01-03-21-00, 801.531792
2014-01-03-22-00, 806.661509
2014-01-03-23-00, 804.085393
2014-01-04-00-00, 801.219674
2014-01-04-01-00, 800.403524
2014-01-04-02-00, 801.883398
2014-01-04-03-00, 799.088179
2014-01-04-04-00, 794.880399
2014-01-04-05-00, 797.040345
2014-01-04-06-00, 807.328360
2014-01-04-07-00, 806.141260
2014-01-04-08-00, 810.739778
2014-01-04-09-00, 809.294800
2014-01-04-10-00, 808.269390
2014-01-04-11-00, 807.826405
2014-01-04-12-00, 807.214677
2014-01-04-13-00, 803.674161
2014-01-04-14-00, 807.583382
2014-01-04-15-00, 818.382175
2014-01-04-16-00, 820.596364
2014-01-04-17-00, 823.574626
2014-01-04-18-00, 823.452752
2014-01-04-19-00, 824.885449
2014-01-04-20-00, 822.988242
2014-01-04-21-00, 823.417916
2014-01-04-22-00, 828.637167
2014-01-04-23-00, 832.897835
2014-01-05-00-00, 835.544073
2014-01-05-01-00, 831.109395
2014-01-05-02-00, 831.077134
2014-01-05-03-00, 834.909535
2014-01-05-04-00, 839.673920
2014-01-05-05-00, 837.096823
2014-01-05-06-00, 835.748110
2014-01-05-07-00, 838.884244
2014-01-05-08-00, 840.500445
2014-01-05-09-00, 841.026268
2014-01-05-10-00, 839.223969
2014-01-05-11-00, 845.400519
2014-01-05-12-00, 847.257352
2014-01-05-13-00, 861.605217
2014-01-05-14-00, 879.728552
2014-01-05-15-00, 895.515184
2014-01-05-16-00, 897.015413
2014-01-05-17-00, 897.465563
2014-01-05-18-00, 915.518848
2014-01-05-19-00, 924.774504
2014-01-05-20-00, 920.117562
2014-01-05-21-00, 909.080188
2014-01-05-22-00, 903.081011
2014-01-05-23-00, 905.036139
2014-01-06-00-00, 909.520683
2014-01-06-01-00, 916.833154
2014-01-06-02-00, 928.796819
2014-01-06-03-00, 940.742700
2014-01-06-04-00, 943.069331
2014-01-06-05-00, 955.095473
2014-01-06-06-00, 959.662267
2014-01-06-07-00, 964.127615
2014-01-06-08-00, 979.595257
2014-01-06-09-00, 984.888936
2014-01-06-10-00, 976.307615
2014-01-06-11-00, 955.214085
2014-01-06-12-00, 936.958238
2014-01-06-13-00, 929.222493
2014-01-06-14-00, 920.272290
2014-01-06-15-00, 904.655908
2014-01-06-16-00, 908.482978
2014-01-06-17-00, 925.518849
2014-01-06-18-00, 927.768881
2014-01-06-19-00, 925.590993
2014-01-06-20-00, 933.323315
2014-01-06-21-00, 928.833465
2014-01-06-22-00, 915.646969
2014-01-06-23-00, 913.370813
2014-01-07-00-00, 924.649154
2014-01-07-01-00, 934.105971
2014-01-07-02-00, 935.564884
2014-01-07-03-00, 928.820916
2014-01-07-04-00, 927.581398
2014-01-07-05-00, 912.588301
2014-01-07-06-00, 909.797397
2014-01-07-07-00, 911.018948
2014-01-07-08-00, 909.323047
2014-01-07-09-00, 905.430369
2014-01-07-10-00, 896.806803
2014-01-07-11-00, 881.104334
2014-01-07-12-00, 864.192363
2014-01-07-13-00, 863.915699
2014-01-07-14-00, 879.942326
2014-01-07-15-00, 887.521973
2014-01-07-16-00, 883.519274
2014-01-07-17-00, 865.462545
2014-01-07-18-00, 845.301131
2014-01-07-19-00, 841.045348
2014-01-07-20-00, 838.202827
2014-01-07-21-00, 818.632679
2014-01-07-22-00, 806.625464
2014-01-07-23-00, 789.236836
2014-01-08-00-00, 785.745613
2014-01-08-01-00, 811.354890
2014-01-08-02-00, 826.785585
2014-01-08-03-00, 820.625807
2014-01-08-04-00, 809.845453
2014-01-08-05-00, 803.205005
