CHF, GBP
2015-05-01-23-58,0.70823926
2015-05-02-23-58,0.70823926
2015-05-03-23-58,0.70726529
2015-05-04-23-58,0.70829448
2015-05-05-23-58,0.71082121
2015-05-06-23-58,0.71580532
2015-05-07-23-58,0.70450254
2015-05-08-23-58,0.69527848
2015-05-09-23-58,0.69527848
2015-05-10-23-58,0.69536035
2015-05-11-23-58,0.68686132
2015-05-12-23-58,0.68737814
2015-05-13-23-58,0.6928702
2015-05-14-23-58,0.69461218
2015-05-15-23-58,0.69425712
2015-05-16-23-58,0.69425712
2015-05-17-23-58,0.69409019
2015-05-18-23-58,0.68934108
2015-05-19-23-58,0.68783008
2015-05-20-23-58,0.68735755
2015-05-21-23-58,0.68115645
2015-05-22-23-58,0.68398659
2015-05-23-23-58,0.68398659
2015-05-24-23-58,0.68504458
2015-05-25-23-58,0.68355531
2015-05-26-23-58,0.6824195
2015-05-27-23-58,0.68591987
2015-05-28-23-58,0.69215752
2015-05-29-23-58,0.69544928
2015-05-30-23-58,0.69544928
2015-05-31-23-58,0.69473599
2015-06-01-23-58,0.69546813
2015-06-02-23-58,0.69854901
2015-06-03-23-58,0.69811567
2015-06-04-23-58,0.69642013
2015-06-05-23-58,0.69675465
2015-06-06-23-58,0.69675465
2015-06-07-23-58,0.69656584
2015-06-08-23-58,0.7026451
2015-06-09-23-58,0.69852745
2015-06-10-23-58,0.69210331
2015-06-11-23-58,0.6901561
2015-06-12-23-58,0.69251049
2015-06-13-23-58,0.69251049
2015-06-14-23-58,0.69114764
2015-06-15-23-58,0.68934413
2015-06-16-23-58,0.6862789
2015-06-17-23-58,0.68495284
2015-06-18-23-58,0.68350542
2015-06-19-23-58,0.68631471
2015-06-20-23-58,0.68631471
2015-06-21-23-58,0.68570658
2015-06-22-23-58,0.68576295
2015-06-23-23-58,0.68064396
2015-06-24-23-58,0.68201553
2015-06-25-23-58,0.67805343
2015-06-26-23-58,0.68027752
2015-06-27-23-58,0.68027752
2015-06-28-23-58,0.67775374
2015-06-29-23-58,0.6865532
2015-06-30-23-58,0.68155318
2015-07-01-23-58,0.67545417
2015-07-02-23-58,0.6788987
