BTC, USD
2013-03-31-22-00, 95.077253
2013-03-31-23-00, 93.439189
2013-04-01-00-00, 93.439189
2013-04-01-00-00, 93.500715
2013-04-01-01-00, 93.500715
2013-04-01-01-00, 92.535290
2013-04-01-02-00, 92.535290
2013-04-01-02-00, 93.155030
2013-04-01-03-00, 93.750980
2013-04-01-04-00, 93.750980
2013-04-01-04-00, 94.000001
2013-04-01-05-00, 94.000001
2013-04-01-06-00, 94.000001
2013-04-01-06-00, 93.592585
2013-04-01-07-00, 94.230000
2013-04-01-08-00, 94.825083
2013-04-01-09-00, 94.825083
2013-04-01-09-00, 95.210547
2013-04-01-10-00, 97.616704
2013-04-01-11-00, 97.616704
2013-04-01-11-00, 98.597649
2013-04-01-12-00, 102.977097
2013-04-01-13-00, 100.169245
2013-04-01-14-00, 100.169245
2013-04-01-14-00, 103.546333
2013-04-01-15-00, 102.744992
2013-04-01-16-00, 102.744992
2013-04-01-16-00, 102.499980
2013-04-01-17-00, 103.114786
2013-04-01-18-00, 103.114786
2013-04-01-19-00, 103.907625
2013-04-01-20-00, 103.907625
2013-04-01-20-00, 105.321543
2013-04-01-21-00, 103.156805
2013-04-01-22-00, 103.128197
2013-04-01-23-00, 103.172128
2013-04-02-00-00, 103.172128
2013-04-02-00-00, 103.751161
2013-04-02-01-00, 104.983248
2013-04-02-02-00, 105.249948
2013-04-02-03-00, 105.249948
2013-04-02-03-00, 101.078511
2013-04-02-04-00, 101.078511
2013-04-02-04-00, 102.226382
2013-04-02-05-00, 102.226382
2013-04-02-05-00, 102.656179
2013-04-02-06-00, 104.643191
2013-04-02-07-00, 104.643191
2013-04-02-07-00, 104.118576
2013-04-02-08-00, 106.626730
2013-04-02-09-00, 105.524549
2013-04-02-10-00, 105.524549
2013-04-02-10-00, 107.355785
2013-04-02-11-00, 107.858026
2013-04-02-12-00, 107.858026
2013-04-02-12-00, 108.081800
2013-04-02-13-00, 108.081800
2013-04-02-13-00, 107.972966
2013-04-02-14-00, 107.972966
2013-04-02-14-00, 108.025608
2013-04-02-15-00, 108.320730
2013-04-02-16-00, 108.320730
2013-04-02-16-00, 109.291321
2013-04-02-17-00, 109.291321
2013-04-02-17-00, 110.624049
2013-04-02-18-00, 113.891099
2013-04-02-19-00, 113.891099
2013-04-02-19-00, 114.689631
2013-04-02-20-00, 114.689631
2013-04-02-20-00, 114.924248
2013-04-02-21-00, 114.924248
2013-04-02-21-00, 117.487631
2013-04-02-22-00, 117.303416
2013-04-02-23-00, 117.948080
2013-04-03-00-00, 117.948080
2013-04-03-00-00, 120.201246
2013-04-03-01-00, 124.033699
2013-04-03-02-00, 124.033699
2013-04-03-02-00, 120.809141
2013-04-03-03-00, 122.426816
