BTC, USD
2014-02-23-00-00, 610.914551
2014-02-23-01-00, 607.852357
2014-02-23-02-00, 612.989602
2014-02-23-03-00, 620.377556
2014-02-23-04-00, 621.061734
2014-02-23-05-00, 618.568750
2014-02-23-06-00, 611.754152
2014-02-23-07-00, 618.492800
2014-02-23-08-00, 625.756143
2014-02-23-09-00, 636.874549
2014-02-23-10-00, 636.653624
2014-02-23-11-00, 626.444286
2014-02-23-12-00, 621.332347
2014-02-23-13-00, 623.909451
2014-02-23-14-00, 624.635099
2014-02-23-15-00, 626.855702
2014-02-23-16-00, 630.532954
2014-02-23-17-00, 628.729146
2014-02-23-18-00, 623.794235
2014-02-23-19-00, 622.693620
2014-02-23-20-00, 611.468175
2014-02-23-21-00, 608.019157
2014-02-23-22-00, 612.996723
2014-02-23-23-00, 609.794583
2014-02-24-00-00, 608.931246
2014-02-24-01-00, 597.582978
2014-02-24-02-00, 585.273936
2014-02-24-03-00, 574.018452
2014-02-24-04-00, 578.751359
2014-02-24-05-00, 572.549034
2014-02-24-06-00, 559.264965
2014-02-24-07-00, 561.691103
2014-02-24-08-00, 565.611965
2014-02-24-09-00, 572.532192
2014-02-24-10-00, 576.333819
2014-02-24-11-00, 578.223171
2014-02-24-12-00, 578.012439
2014-02-24-13-00, 551.671003
2014-02-24-14-00, 571.101187
2014-02-24-15-00, 570.387171
2014-02-24-16-00, 567.378339
2014-02-24-17-00, 559.568323
2014-02-24-18-00, 547.645911
2014-02-24-19-00, 548.949904
2014-02-24-20-00, 544.451961
2014-02-24-21-00, 537.927281
2014-02-24-22-00, 542.203353
2014-02-24-23-00, 542.394476
2014-02-25-00-00, 519.236260
2014-02-25-01-00, 524.543612
2014-02-25-02-00, 502.414170
2014-02-25-03-00, 490.882159
2014-02-25-04-00, 482.623774
2014-02-25-05-00, 458.104287
2014-02-25-06-00, 428.316231
2014-02-25-07-00, 452.616118
2014-02-25-08-00, 458.597917
2014-02-25-09-00, 470.344913
2014-02-25-10-00, 503.785021
2014-02-25-11-00, 501.106295
2014-02-25-12-00, 490.310411
2014-02-25-13-00, 495.320341
2014-02-25-14-00, 496.988624
2014-02-25-15-00, 518.572354
2014-02-25-16-00, 527.675460
2014-02-25-17-00, 515.609923
2014-02-25-18-00, 512.268188
2014-02-25-19-00, 516.025686
2014-02-25-20-00, 515.237688
2014-02-25-21-00, 519.121720
2014-02-25-22-00, 531.993167
2014-02-25-23-00, 532.596135
2014-02-26-00-00, 537.191298
2014-02-26-01-00, 559.767173
2014-02-26-02-00, 561.270541
2014-02-26-03-00, 553.511282
2014-02-26-04-00, 563.173149
2014-02-26-05-00, 570.524552
2014-02-26-06-00, 590.091594
2014-02-26-07-00, 594.727051
2014-02-26-08-00, 603.547160
2014-02-26-09-00, 587.175712
2014-02-26-10-00, 581.244667
2014-02-26-11-00, 585.287154
2014-02-26-12-00, 571.706453
2014-02-26-13-00, 564.313203
2014-02-26-14-00, 567.760872
2014-02-26-15-00, 568.298063
2014-02-26-16-00, 581.069757
2014-02-26-17-00, 585.400940
2014-02-26-18-00, 586.380866
2014-02-26-19-00, 591.109168
2014-02-26-20-00, 575.734486
2014-02-26-21-00, 568.882853
2014-02-26-22-00, 582.727052
2014-02-26-23-00, 589.765402
2014-02-27-00-00, 593.733533
2014-02-27-01-00, 595.635803
2014-02-27-02-00, 585.725615
2014-02-27-03-00, 580.425614
2014-02-27-04-00, 584.475086
2014-02-27-05-00, 582.947093
2014-02-27-06-00, 579.881805
2014-02-27-07-00, 575.143843
2014-02-27-08-00, 577.252039
2014-02-27-09-00, 578.373368
2014-02-27-10-00, 575.750648
2014-02-27-11-00, 578.956964
2014-02-27-12-00, 584.429774
2014-02-27-13-00, 586.895970
2014-02-27-14-00, 592.216940
2014-02-27-15-00, 588.985915
2014-02-27-16-00, 585.010690
2014-02-27-17-00, 584.480175
2014-02-27-18-00, 585.486739
2014-02-27-19-00, 585.991195
2014-02-27-20-00, 584.720377
2014-02-27-21-00, 585.091000
2014-02-27-22-00, 585.936522
2014-02-27-23-00, 587.157418
2014-02-28-00-00, 585.455488
2014-02-28-01-00, 586.202126
2014-02-28-02-00, 587.507586
2014-02-28-03-00, 581.359652
2014-02-28-04-00, 574.916972
2014-02-28-05-00, 578.286963
2014-02-28-06-00, 578.191742
2014-02-28-07-00, 574.544492
2014-02-28-08-00, 575.333364
2014-02-28-09-00, 569.922975
2014-02-28-10-00, 567.988276
2014-02-28-11-00, 566.372482
2014-02-28-12-00, 558.969106
2014-02-28-13-00, 558.538216
2014-02-28-14-00, 564.819225
2014-02-28-15-00, 569.787817
2014-02-28-16-00, 568.418409
2014-02-28-17-00, 575.049796
2014-02-28-18-00, 576.974177
2014-02-28-19-00, 575.686748
2014-02-28-20-00, 566.925821
2014-02-28-21-00, 557.204956
2014-02-28-22-00, 556.986923
2014-02-28-23-00, 550.230239
2014-03-01-00-00, 542.758743
2014-03-01-01-00, 546.867295
2014-03-01-02-00, 549.900168
2014-03-01-03-00, 556.769609
2014-03-01-04-00, 560.735809
2014-03-01-05-00, 558.900686
2014-03-01-06-00, 562.299776
2014-03-01-07-00, 559.186084
2014-03-01-08-00, 562.462234
2014-03-01-09-00, 562.624597
2014-03-01-10-00, 561.021864
2014-03-01-11-00, 558.234295
2014-03-01-12-00, 559.361376
2014-03-01-13-00, 560.604592
2014-03-01-14-00, 563.155315
2014-03-01-15-00, 562.254804
2014-03-01-16-00, 569.366201
2014-03-01-17-00, 570.165206
2014-03-01-18-00, 572.034862
2014-03-01-19-00, 572.232649
2014-03-01-20-00, 572.681951
2014-03-01-21-00, 574.686437
2014-03-01-22-00, 571.846340
2014-03-01-23-00, 566.806667
2014-03-02-00-00, 567.332500
2014-03-02-01-00, 568.015526
2014-03-02-02-00, 570.021818
2014-03-02-03-00, 566.424655
2014-03-02-04-00, 564.110769
2014-03-02-05-00, 561.593500
2014-03-02-06-00, 563.642500
2014-03-02-07-00, 565.430385
2014-03-02-08-00, 567.713359
2014-03-02-09-00, 568.273462
2014-03-02-10-00, 568.936667
2014-03-02-11-00, 569.614444
2014-03-02-12-00, 566.035060
2014-03-02-13-00, 562.638020
2014-03-02-14-00, 559.709187
2014-03-02-15-00, 559.206527
2014-03-02-16-00, 563.189400
2014-03-02-17-00, 560.753608
2014-03-02-18-00, 559.908590
2014-03-02-19-00, 562.150948
2014-03-02-20-00, 560.707260
2014-03-02-21-00, 561.406250
2014-03-02-22-00, 556.844088
2014-03-02-23-00, 563.004201
2014-03-03-00-00, 569.352982
2014-03-03-01-00, 570.435289
2014-03-03-02-00, 567.865113
2014-03-03-03-00, 569.380391
2014-03-03-04-00, 574.468745
2014-03-03-05-00, 575.984885
2014-03-03-06-00, 569.671781
2014-03-03-07-00, 572.153580
2014-03-03-08-00, 585.715572
