ETH, USD
2017-02-08-18-00, 11.39
2017-02-07-18-00, 11.44
2017-02-06-18-00, 11.32
2017-02-05-18-00, 11.21
2017-02-04-18-00, 11.32
2017-02-03-18-00, 10.94
2017-02-02-18-00, 10.79
2017-02-01-18-00, 10.71
2017-01-31-18-00, 10.7
2017-01-30-18-00, 10.55
2017-01-29-18-00, 10.47
2017-01-28-18-00, 10.53
2017-01-27-18-00, 10.5
2017-01-26-18-00, 10.65
2017-01-25-18-00, 10.5
2017-01-24-18-00, 10.51
2017-01-23-18-00, 10.77
2017-01-22-18-00, 10.69
2017-01-21-18-00, 10.93
2017-01-20-18-00, 10.59
2017-01-19-18-00, 10.41
2017-01-18-18-00, 10.19
2017-01-17-18-00, 10.15
2017-01-16-18-00, 9.59
2017-01-15-18-00, 9.85
2017-01-14-18-00, 9.77
2017-01-13-18-00, 9.76
2017-01-12-18-00, 9.8
2017-01-11-18-00, 9.81
2017-01-10-18-00, 10.56
2017-01-09-18-00, 10.23
2017-01-08-18-00, 10.29
2017-01-07-18-00, 9.8
2017-01-06-18-00, 10.07
2017-01-05-18-00, 10.19
2017-01-04-18-00, 10.91
2017-01-03-18-00, 9.68
2017-01-02-18-00, 8.33
2017-01-01-18-00, 8.15
2016-12-31-18-00, 8.04
2016-12-30-18-00, 8.17
2016-12-29-18-00, 8.24
2016-12-28-18-00, 7.63
2016-12-27-18-00, 7.15
2016-12-26-18-00, 7.24
2016-12-25-18-00, 7.19
2016-12-24-18-00, 7.23
2016-12-23-18-00, 7.15
2016-12-22-18-00, 7.65
2016-12-21-18-00, 7.87
2016-12-20-18-00, 7.59
2016-12-19-18-00, 7.61
2016-12-18-18-00, 7.88
2016-12-17-18-00, 7.67
2016-12-16-18-00, 7.87
2016-12-15-18-00, 7.77
2016-12-14-18-00, 8.22
2016-12-13-18-00, 8.41
2016-12-12-18-00, 8.45
2016-12-11-18-00, 8.2
2016-12-10-18-00, 8.09
2016-12-09-18-00, 8.5
2016-12-08-18-00, 8.3
2016-12-07-18-00, 8.35
2016-12-06-18-00, 7.71
2016-12-05-18-00, 6.67
2016-12-04-18-00, 7.54
2016-12-03-18-00, 7.89
2016-12-02-18-00, 7.71
2016-12-01-18-00, 8.46
2016-11-30-18-00, 8.6
2016-11-29-18-00, 8.18
2016-11-28-18-00, 8.68
2016-11-27-18-00, 8.87
2016-11-26-18-00, 9.32
2016-11-25-18-00, 9.41
2016-11-24-18-00, 9.2
2016-11-23-18-00, 9.75
2016-11-22-18-00, 9.83
2016-11-21-18-00, 9.56
2016-11-20-18-00, 9.58
2016-11-19-18-00, 9.68
2016-11-18-18-00, 9.53
2016-11-17-18-00, 9.96
2016-11-16-18-00, 10.01
2016-11-15-18-00, 10.23
2016-11-14-18-00, 10.0
2016-11-13-18-00, 10.12
2016-11-12-18-00, 9.98
2016-11-11-18-00, 10.29
2016-11-10-18-00, 10.52
2016-11-09-18-00, 10.66
2016-11-08-18-00, 10.87
2016-11-07-18-00, 10.9
2016-11-06-18-00, 10.96
2016-11-05-18-00, 11.13
2016-11-04-18-00, 11.15
2016-11-03-18-00, 10.86
2016-11-02-18-00, 10.83
2016-11-01-18-00, 10.77
2016-10-31-18-00, 10.93
2016-10-30-18-00, 11.24
2016-10-29-18-00, 10.38
2016-10-28-18-00, 11.11
2016-10-27-18-00, 11.47
2016-10-26-18-00, 11.5
2016-10-25-18-00, 11.37
2016-10-24-18-00, 11.94
2016-10-23-18-00, 11.98
2016-10-22-18-00, 12.1
2016-10-21-18-00, 12.07
2016-10-20-18-00, 12.06
2016-10-19-18-00, 11.98
2016-10-18-18-00, 12.52
2016-10-17-18-00, 11.98
2016-10-16-18-00, 11.94
2016-10-15-18-00, 11.97
2016-10-14-18-00, 11.9
2016-10-13-18-00, 12.03
