BTC, ETC
2016-07-25-06-00, 0.001232
2016-07-25-12-00, 0.000990
2016-07-25-18-00, 0.001000
2016-07-26-00-00, 0.000925
2016-07-26-06-00, 0.001187
2016-07-26-12-00, 0.000000
2016-07-26-18-00, 0.003270
2016-07-27-00-00, 0.003310
2016-07-27-06-00, 0.003250
2016-07-27-12-00, 0.002948
2016-07-27-18-00, 0.002300
2016-07-28-00-00, 0.002431
2016-07-28-06-00, 0.002285
2016-07-28-12-00, 0.002817
2016-07-28-18-00, 0.002804
2016-07-29-00-00, 0.002630
2016-07-29-06-00, 0.002650
2016-07-29-12-00, 0.002535
2016-07-29-18-00, 0.002451
2016-07-30-00-00, 0.002484
2016-07-30-06-00, 0.002543
2016-07-30-12-00, 0.002499
2016-07-30-18-00, 0.002393
2016-07-31-00-00, 0.002396
2016-07-31-06-00, 0.002610
2016-07-31-12-00, 0.002818
2016-07-31-18-00, 0.002945
2016-08-01-00-00, 0.002879
2016-08-01-06-00, 0.002913
2016-08-01-12-00, 0.003440
2016-08-01-18-00, 0.003408
2016-08-02-00-00, 0.003888
2016-08-02-06-00, 0.004336
2016-08-02-12-00, 0.004392
2016-08-02-18-00, 0.004800
2016-08-03-00-00, 0.005118
2016-08-03-06-00, 0.004999
2016-08-03-12-00, 0.005120
2016-08-03-18-00, 0.005480
2016-08-04-00-00, 0.004583
2016-08-04-06-00, 0.004726
2016-08-04-12-00, 0.004190
2016-08-04-18-00, 0.004289
2016-08-05-00-00, 0.004070
2016-08-05-06-00, 0.004454
2016-08-05-12-00, 0.004100
2016-08-05-18-00, 0.004365
2016-08-06-00-00, 0.004480
2016-08-06-06-00, 0.004590
2016-08-06-12-00, 0.004959
2016-08-06-18-00, 0.004429
2016-08-07-00-00, 0.004590
2016-08-07-06-00, 0.004160
2016-08-07-12-00, 0.003796
2016-08-07-18-00, 0.003800
2016-08-08-00-00, 0.003634
2016-08-08-06-00, 0.003886
2016-08-08-12-00, 0.003739
2016-08-08-18-00, 0.003706
2016-08-09-00-00, 0.003705
2016-08-09-06-00, 0.003651
2016-08-09-12-00, 0.003277
2016-08-09-18-00, 0.003190
2016-08-10-00-00, 0.003310
2016-08-10-06-00, 0.003387
2016-08-10-12-00, 0.003137
2016-08-10-18-00, 0.002960
2016-08-11-00-00, 0.002900
2016-08-11-06-00, 0.002736
2016-08-11-12-00, 0.003255
2016-08-11-18-00, 0.003244
2016-08-12-00-00, 0.003136
2016-08-12-06-00, 0.003407
2016-08-12-12-00, 0.003349
2016-08-12-18-00, 0.003100
2016-08-13-00-00, 0.003156
2016-08-13-06-00, 0.003215
2016-08-13-12-00, 0.003182
2016-08-13-18-00, 0.003151
2016-08-14-00-00, 0.003195
2016-08-14-06-00, 0.003300
2016-08-14-12-00, 0.003310
2016-08-14-18-00, 0.003439
2016-08-15-00-00, 0.003379
2016-08-15-06-00, 0.003400
2016-08-15-12-00, 0.003479
2016-08-15-18-00, 0.003280
2016-08-16-00-00, 0.003283
2016-08-16-06-00, 0.003299
2016-08-16-12-00, 0.003196
2016-08-16-18-00, 0.003207
2016-08-17-00-00, 0.003218
2016-08-17-06-00, 0.003198
2016-08-17-12-00, 0.003150
2016-08-17-18-00, 0.003058
2016-08-18-00-00, 0.003029
2016-08-18-06-00, 0.003068
2016-08-18-12-00, 0.003019
2016-08-18-18-00, 0.002909
2016-08-19-00-00, 0.002928
2016-08-19-06-00, 0.002849
2016-08-19-12-00, 0.002835
2016-08-19-18-00, 0.003041
2016-08-20-00-00, 0.003100
2016-08-20-06-00, 0.002991
2016-08-20-12-00, 0.002922
2016-08-20-18-00, 0.003005
2016-08-21-00-00, 0.002997
2016-08-21-06-00, 0.002964
2016-08-21-12-00, 0.002965
2016-08-21-18-00, 0.002947
2016-08-22-00-00, 0.002966
2016-08-22-06-00, 0.002959
2016-08-22-12-00, 0.002928
2016-08-22-18-00, 0.002871
2016-08-23-00-00, 0.002845
2016-08-23-06-00, 0.002765
2016-08-23-12-00, 0.002725
2016-08-23-18-00, 0.002875
2016-08-24-00-00, 0.002751
2016-08-24-06-00, 0.002763
2016-08-24-12-00, 0.002700
2016-08-24-18-00, 0.002552
2016-08-25-00-00, 0.002487
2016-08-25-06-00, 0.002392
2016-08-25-12-00, 0.002320
2016-08-25-18-00, 0.002393
2016-08-26-00-00, 0.002370
2016-08-26-06-00, 0.002329
2016-08-26-12-00, 0.002570
2016-08-26-18-00, 0.002454
2016-08-27-00-00, 0.002484
2016-08-27-06-00, 0.002468
2016-08-27-12-00, 0.002517
2016-08-27-18-00, 0.002505
2016-08-28-00-00, 0.002359
2016-08-28-06-00, 0.002306
2016-08-28-12-00, 0.002324
2016-08-28-18-00, 0.002301
2016-08-29-00-00, 0.002292
2016-08-29-06-00, 0.002315
2016-08-29-12-00, 0.002281
2016-08-29-18-00, 0.002190
2016-08-30-00-00, 0.002197
2016-08-30-06-00, 0.002200
2016-08-30-12-00, 0.002152
2016-08-30-18-00, 0.002137
2016-08-31-00-00, 0.002133
2016-08-31-06-00, 0.002106
2016-08-31-12-00, 0.002062
2016-08-31-18-00, 0.002175
2016-09-01-00-00, 0.002060
2016-09-01-06-00, 0.002186
2016-09-01-12-00, 0.002186
2016-09-01-18-00, 0.002342
2016-09-02-00-00, 0.002534
2016-09-02-06-00, 0.002512
2016-09-02-12-00, 0.002525
2016-09-02-18-00, 0.002490
2016-09-03-00-00, 0.002421
2016-09-03-06-00, 0.002409
2016-09-03-12-00, 0.002362
2016-09-03-18-00, 0.002328
2016-09-04-00-00, 0.002240
2016-09-04-06-00, 0.002220
2016-09-04-12-00, 0.002310
2016-09-04-18-00, 0.002292
2016-09-05-00-00, 0.002404
2016-09-05-06-00, 0.002374
2016-09-05-12-00, 0.002506
2016-09-05-18-00, 0.002426
2016-09-06-00-00, 0.000000
2016-09-06-06-00, 0.002421
2016-09-06-12-00, 0.002398
2016-09-06-18-00, 0.002430
2016-09-07-00-00, 0.002396
2016-09-07-06-00, 0.002398
2016-09-07-12-00, 0.002396
2016-09-07-18-00, 0.002388
2016-09-08-00-00, 0.002402
2016-09-08-06-00, 0.002385
2016-09-08-12-00, 0.002370
2016-09-08-18-00, 0.002350
2016-09-09-00-00, 0.002289
2016-09-09-06-00, 0.002278
2016-09-09-12-00, 0.002230
2016-09-09-18-00, 0.002286
2016-09-10-00-00, 0.002238
2016-09-10-06-00, 0.002314
2016-09-10-12-00, 0.002291
2016-09-10-18-00, 0.002253
2016-09-11-00-00, 0.002278
2016-09-11-06-00, 0.002220
2016-09-11-12-00, 0.002168
2016-09-11-18-00, 0.002190
2016-09-12-00-00, 0.002190
2016-09-12-06-00, 0.002192
2016-09-12-12-00, 0.002160
2016-09-12-18-00, 0.002167
2016-09-13-00-00, 0.002174
2016-09-13-06-00, 0.002166
2016-09-13-12-00, 0.002150
2016-09-13-18-00, 0.002116
2016-09-14-00-00, 0.002110
2016-09-14-06-00, 0.002076
2016-09-14-12-00, 0.002081
2016-09-14-18-00, 0.002091
2016-09-15-00-00, 0.002110
2016-09-15-06-00, 0.002124
2016-09-15-12-00, 0.002131
2016-09-15-18-00, 0.002104
2016-09-16-00-00, 0.002102
2016-09-16-06-00, 0.002100
2016-09-16-12-00, 0.002119
2016-09-16-18-00, 0.002168
2016-09-17-00-00, 0.002177
2016-09-17-06-00, 0.002145
2016-09-17-12-00, 0.002178
2016-09-17-18-00, 0.002165
2016-09-18-00-00, 0.002184
2016-09-18-06-00, 0.002213
2016-09-18-12-00, 0.002178
2016-09-18-18-00, 0.002183
2016-09-19-00-00, 0.002161
2016-09-19-06-00, 0.000000
2016-09-19-12-00, 0.002155
2016-09-19-18-00, 0.002125
2016-09-20-00-00, 0.002093
2016-09-20-06-00, 0.002079
2016-09-20-12-00, 0.002046
2016-09-20-18-00, 0.002056
2016-09-21-00-00, 0.002059
2016-09-21-06-00, 0.002075
2016-09-21-12-00, 0.002099
2016-09-21-18-00, 0.002114
2016-09-22-00-00, 0.002050
2016-09-22-06-00, 0.001983
2016-09-22-12-00, 0.001975
2016-09-22-18-00, 0.002105
2016-09-23-00-00, 0.002104
2016-09-23-06-00, 0.002136
2016-09-23-12-00, 0.002108
2016-09-23-18-00, 0.002044
2016-09-24-00-00, 0.002060
2016-09-24-06-00, 0.002050
2016-09-24-12-00, 0.002055
2016-09-24-18-00, 0.002031
2016-09-25-00-00, 0.002073
2016-09-25-06-00, 0.002070
2016-09-25-12-00, 0.002048
2016-09-25-18-00, 0.002033
2016-09-26-00-00, 0.002019
2016-09-26-06-00, 0.002005
2016-09-26-12-00, 0.001999
2016-09-26-18-00, 0.001975
2016-09-27-00-00, 0.001970
2016-09-27-06-00, 0.001949
2016-09-27-12-00, 0.001967
2016-09-27-18-00, 0.001958
2016-09-28-00-00, 0.001981
2016-09-28-06-00, 0.002084
2016-09-28-12-00, 0.002061
2016-09-28-18-00, 0.002041
2016-09-29-00-00, 0.002060
2016-09-29-06-00, 0.002037
2016-09-29-12-00, 0.002029
2016-09-29-18-00, 0.002039
2016-09-30-00-00, 0.002095
2016-09-30-06-00, 0.002060
2016-09-30-12-00, 0.002061
2016-09-30-18-00, 0.002062
2016-10-01-00-00, 0.002054
2016-10-01-06-00, 0.002043
2016-10-01-12-00, 0.001995
2016-10-01-18-00, 0.001978
2016-10-02-00-00, 0.000000
2016-10-02-06-00, 0.001989
2016-10-02-12-00, 0.001950
2016-10-02-18-00, 0.001972
2016-10-03-00-00, 0.001951
2016-10-03-06-00, 0.001955
2016-10-03-12-00, 0.001958
2016-10-03-18-00, 0.001928
2016-10-04-00-00, 0.001951
2016-10-04-06-00, 0.001937
2016-10-04-12-00, 0.001939
2016-10-04-18-00, 0.001917
2016-10-05-00-00, 0.001901
2016-10-05-06-00, 0.001905
2016-10-05-12-00, 0.001895
2016-10-05-18-00, 0.001940
2016-10-06-00-00, 0.001940
2016-10-06-06-00, 0.001929
2016-10-06-12-00, 0.001919
2016-10-06-18-00, 0.001926
2016-10-07-00-00, 0.001918
2016-10-07-06-00, 0.001925
2016-10-07-12-00, 0.001873
2016-10-07-18-00, 0.001875
2016-10-08-00-00, 0.001895
2016-10-08-06-00, 0.001883
2016-10-08-12-00, 0.001882
2016-10-08-18-00, 0.001918
2016-10-09-00-00, 0.001910
2016-10-09-02-00, 0.001900
2016-10-09-03-00, 0.001900
2016-10-09-04-00, 0.001900
2016-10-09-05-00, 0.001900
2016-10-09-06-00, 0.001901
2016-10-09-07-00, 0.001900
2016-10-09-08-00, 0.001898
2016-10-09-09-00, 0.001894
2016-10-09-10-00, 0.001897
2016-10-09-11-00, 0.001900
2016-10-09-12-00, 0.001903
2016-10-09-13-00, 0.001917
2016-10-09-14-00, 0.001911
2016-10-09-15-00, 0.001905
2016-10-09-16-00, 0.001902
2016-10-09-17-00, 0.001902
2016-10-09-18-00, 0.001902
2016-10-09-19-00, 0.001896
2016-10-09-20-00, 0.001901
2016-10-09-21-00, 0.001894
2016-10-09-22-00, 0.001898
2016-10-09-23-00, 0.001894
2016-10-10-00-00, 0.001894
2016-10-10-01-00, 0.001893
2016-10-10-02-00, 0.001888
2016-10-10-03-00, 0.001882
2016-10-10-04-00, 0.001880
2016-10-10-05-00, 0.001882
2016-10-10-06-00, 0.001886
2016-10-10-07-00, 0.001885
2016-10-10-08-00, 0.001880
2016-10-10-09-00, 0.001880
2016-10-10-10-00, 0.001871
2016-10-10-11-00, 0.001875
2016-10-10-12-00, 0.001865
2016-10-10-13-00, 0.001865
2016-10-10-14-00, 0.001875
2016-10-10-15-00, 0.001860
2016-10-10-16-00, 0.001875
2016-10-10-17-00, 0.001882
2016-10-10-18-00, 0.001875
2016-10-10-19-00, 0.001866
2016-10-10-20-00, 0.001882
2016-10-10-21-00, 0.001860
2016-10-10-22-00, 0.001865
2016-10-10-23-00, 0.001855
2016-10-11-00-00, 0.001860
2016-10-11-01-00, 0.001855
2016-10-11-02-00, 0.001860
2016-10-11-03-00, 0.001861
2016-10-11-04-00, 0.001865
2016-10-11-05-00, 0.001813
2016-10-11-06-00, 0.001816
2016-10-11-07-00, 0.001818
2016-10-11-08-00, 0.001806
2016-10-11-09-00, 0.001801
2016-10-11-10-00, 0.001793
2016-10-11-11-00, 0.001797
2016-10-11-12-00, 0.001800
2016-10-11-13-00, 0.001783
2016-10-11-14-00, 0.001778
2016-10-11-15-00, 0.001772
2016-10-11-16-00, 0.001773
2016-10-11-17-00, 0.001775
2016-10-11-18-00, 0.001758
2016-10-11-19-00, 0.001762
2016-10-11-20-00, 0.001741
2016-10-11-21-00, 0.001754
2016-10-11-22-00, 0.001735
2016-10-11-23-00, 0.001711
2016-10-12-00-00, 0.001709
2016-10-12-01-00, 0.001699
2016-10-12-02-00, 0.001636
2016-10-12-03-00, 0.001582
2016-10-12-04-00, 0.001606
2016-10-12-05-00, 0.001635
2016-10-12-06-00, 0.001639
2016-10-12-07-00, 0.001626
2016-10-12-08-00, 0.001621
