BTC, EUR
2014-02-23-00-00, 443.519762
2014-02-23-01-00, 438.979153
2014-02-23-02-00, 440.790413
2014-02-23-03-00, 443.229806
2014-02-23-04-00, 447.600074
2014-02-23-05-00, 446.471317
2014-02-23-06-00, 442.811248
2014-02-23-07-00, 450.008551
2014-02-23-08-00, 456.632386
2014-02-23-09-00, 463.178608
2014-02-23-10-00, 461.436559
2014-02-23-11-00, 454.647262
2014-02-23-12-00, 452.308759
2014-02-23-13-00, 454.508271
2014-02-23-14-00, 454.307684
2014-02-23-15-00, 455.764288
2014-02-23-16-00, 455.324392
2014-02-23-17-00, 457.108062
2014-02-23-18-00, 454.058933
2014-02-23-19-00, 453.873801
2014-02-23-20-00, 445.291573
2014-02-23-21-00, 441.837186
2014-02-23-22-00, 446.442358
2014-02-23-23-00, 444.601033
2014-02-24-00-00, 441.578093
2014-02-24-01-00, 436.482433
2014-02-24-02-00, 430.942227
2014-02-24-03-00, 425.270901
2014-02-24-04-00, 428.667459
2014-02-24-05-00, 421.067376
2014-02-24-06-00, 415.669204
2014-02-24-07-00, 418.342304
2014-02-24-08-00, 419.705904
2014-02-24-09-00, 418.964263
2014-02-24-10-00, 423.333739
2014-02-24-11-00, 427.845639
2014-02-24-12-00, 426.059094
2014-02-24-13-00, 420.213458
2014-02-24-14-00, 422.259726
2014-02-24-15-00, 423.250541
2014-02-24-16-00, 420.051068
2014-02-24-17-00, 416.018212
2014-02-24-18-00, 413.025620
2014-02-24-19-00, 413.839165
2014-02-24-20-00, 413.040689
2014-02-24-21-00, 405.400094
2014-02-24-22-00, 410.724072
2014-02-24-23-00, 409.928644
2014-02-25-00-00, 406.629277
2014-02-25-01-00, 404.650725
2014-02-25-02-00, 398.999593
2014-02-25-03-00, 390.477816
2014-02-25-04-00, 383.834189
2014-02-25-05-00, 367.727196
2014-02-25-06-00, 343.170607
2014-02-25-07-00, 352.413822
2014-02-25-08-00, 347.663754
2014-02-25-09-00, 350.367380
2014-02-25-10-00, 373.678200
2014-02-25-11-00, 370.394833
2014-02-25-12-00, 363.589296
2014-02-25-13-00, 364.818692
2014-02-25-14-00, 364.876149
2014-02-25-15-00, 378.930798
2014-02-25-16-00, 390.139554
2014-02-25-17-00, 382.180617
2014-02-25-18-00, 377.180670
2014-02-25-19-00, 377.337518
2014-02-25-20-00, 377.940784
2014-02-25-21-00, 378.299886
2014-02-25-22-00, 387.470021
2014-02-25-23-00, 386.978852
2014-02-26-00-00, 392.195339
2014-02-26-01-00, 403.541121
2014-02-26-02-00, 406.565315
2014-02-26-03-00, 392.881362
2014-02-26-04-00, 404.626033
2014-02-26-05-00, 408.744604
2014-02-26-06-00, 424.920827
2014-02-26-07-00, 428.077749
2014-02-26-08-00, 434.369508
2014-02-26-09-00, 427.508392
2014-02-26-10-00, 424.053255
2014-02-26-11-00, 434.921194
2014-02-26-12-00, 426.742267
2014-02-26-13-00, 422.701005
2014-02-26-14-00, 423.176030
2014-02-26-15-00, 425.317611
2014-02-26-16-00, 427.652815
2014-02-26-17-00, 430.254585
2014-02-26-18-00, 429.976781
