BTC, EUR
2014-02-23-00-00, 474.270000
2014-02-23-09-00, 459.540000
2014-02-23-10-00, 411.250000
2014-02-23-13-00, 767.620000
2014-02-23-14-00, 460.830000
2014-02-23-15-00, 461.990000
2014-02-23-16-00, 780.740000
2014-02-23-18-00, 467.000000
2014-02-23-20-00, 560.000000
2014-02-23-21-00, 515.000000
2014-02-23-22-00, 514.145000
2014-02-23-23-00, 478.270000
2014-02-24-01-00, 478.530000
2014-02-24-07-00, 437.201667
2014-02-24-08-00, 449.850000
2014-02-24-09-00, 475.992857
2014-02-24-10-00, 438.785556
2014-02-24-11-00, 443.690000
2014-02-24-12-00, 449.094286
2014-02-24-13-00, 442.940000
2014-02-24-14-00, 444.986667
2014-02-24-15-00, 421.196667
2014-02-24-16-00, 448.193333
2014-02-24-17-00, 428.730000
2014-02-24-18-00, 434.745000
2014-02-24-19-00, 443.582857
2014-02-24-20-00, 472.430000
2014-02-24-21-00, 431.795000
2014-02-24-22-00, 404.690000
2014-02-24-23-00, 407.045000
2014-02-25-00-00, 429.953333
2014-02-25-01-00, 463.867500
2014-02-25-06-00, 465.460000
2014-02-25-07-00, 467.086667
2014-02-25-08-00, 435.593333
2014-02-25-09-00, 426.891667
2014-02-25-10-00, 448.102500
2014-02-25-11-00, 448.187647
2014-02-25-12-00, 473.946667
2014-02-25-13-00, 439.420000
2014-02-25-14-00, 464.581429
2014-02-25-15-00, 487.830000
2014-02-25-16-00, 419.610000
2014-02-25-17-00, 430.328571
2014-02-25-18-00, 437.157500
2014-02-25-19-00, 347.000000
2014-02-25-20-00, 390.970000
2014-02-25-21-00, 465.475000
2014-02-25-22-00, 399.510000
2014-02-26-00-00, 431.570000
2014-02-26-01-00, 457.370000
2014-02-26-02-00, 489.240000
2014-02-26-03-00, 435.300000
2014-02-26-06-00, 438.160000
2014-02-26-07-00, 445.706667
2014-02-26-08-00, 499.762500
2014-02-26-09-00, 397.970000
2014-02-26-10-00, 446.008182
2014-02-26-11-00, 433.811250
2014-02-26-12-00, 421.371667
2014-02-26-13-00, 425.190000
2014-02-26-14-00, 412.400000
2014-02-26-15-00, 400.867500
2014-02-26-16-00, 439.674000
2014-02-26-17-00, 399.710000
2014-02-26-18-00, 389.310000
2014-02-26-19-00, 431.725714
2014-02-26-20-00, 442.885000
2014-02-26-21-00, 564.450000
2014-02-26-22-00, 374.640000
2014-02-26-23-00, 361.630000
2014-02-27-00-00, 438.810000
2014-02-27-03-00, 378.540000
2014-02-27-07-00, 444.380000
2014-02-27-08-00, 476.257500
2014-02-27-09-00, 444.711429
2014-02-27-10-00, 440.442000
2014-02-27-11-00, 420.345625
2014-02-27-12-00, 428.550000
2014-02-27-13-00, 429.240000
2014-02-27-14-00, 431.171429
2014-02-27-15-00, 443.977143
2014-02-27-16-00, 430.958333
2014-02-27-17-00, 461.746667
2014-02-27-18-00, 416.080000
2014-02-27-19-00, 461.200000
2014-02-27-20-00, 400.110000
2014-02-27-21-00, 455.550000
2014-02-27-23-00, 402.280000
2014-02-28-00-00, 458.550000
2014-02-28-01-00, 436.550000
2014-02-28-04-00, 417.830000
2014-02-28-08-00, 418.655000
2014-02-28-09-00, 481.143333
2014-02-28-10-00, 454.735000
2014-02-28-11-00, 434.789167
2014-02-28-12-00, 440.750000
2014-02-28-13-00, 431.316429
2014-02-28-14-00, 444.720000
2014-02-28-15-00, 435.543333
2014-02-28-16-00, 434.268000
2014-02-28-17-00, 477.492000
2014-02-28-18-00, 471.226000
2014-02-28-19-00, 451.860000
2014-02-28-20-00, 478.205000
2014-02-28-21-00, 440.220000
2014-02-28-22-00, 423.015000
2014-02-28-23-00, 468.610000
2014-03-01-07-00, 413.840000
2014-03-01-09-00, 437.880000
2014-03-01-11-00, 380.605000
2014-03-01-12-00, 368.400000
2014-03-01-13-00, 469.580000
2014-03-01-14-00, 528.590000
2014-03-01-15-00, 431.153333
2014-03-01-16-00, 504.805000
2014-03-01-17-00, 437.470000
2014-03-01-18-00, 439.082500
2014-03-01-19-00, 426.800000
2014-03-01-20-00, 621.460000
2014-03-01-22-00, 500.790000
2014-03-01-23-00, 370.380000
2014-03-02-00-00, 426.590000
2014-03-02-05-00, 426.670000
2014-03-02-07-00, 431.580000
2014-03-02-08-00, 521.000000
2014-03-02-11-00, 461.290000
2014-03-02-12-00, 427.520000
2014-03-02-13-00, 449.480000
2014-03-02-14-00, 436.650000
2014-03-02-15-00, 385.290000
2014-03-02-17-00, 473.646667
2014-03-02-18-00, 379.000000
2014-03-02-19-00, 435.710000
2014-03-02-20-00, 455.210000
2014-03-02-21-00, 458.430000
2014-03-02-22-00, 463.115000
2014-03-03-01-00, 489.990000
2014-03-03-08-00, 425.390000
2014-03-03-09-00, 427.210000
2014-03-03-10-00, 475.860000
2014-03-03-11-00, 450.185833
2014-03-03-12-00, 444.047500
2014-03-03-13-00, 432.962500
2014-03-03-14-00, 455.386364
2014-03-03-15-00, 470.173333
2014-03-03-16-00, 502.996667
2014-03-03-17-00, 492.612500
2014-03-03-18-00, 489.712857
2014-03-03-19-00, 498.795000
2014-03-03-20-00, 433.540000
2014-03-03-21-00, 462.130000
2014-03-03-22-00, 463.750000
2014-03-03-23-00, 515.980000
2014-03-04-00-00, 470.065000
2014-03-04-01-00, 450.920000
2014-03-04-07-00, 453.490000
2014-03-04-08-00, 450.845000
2014-03-04-09-00, 446.715556
2014-03-04-10-00, 480.230000
2014-03-04-11-00, 456.848824
2014-03-04-12-00, 460.686667
2014-03-04-13-00, 459.280769
2014-03-04-14-00, 489.406667
2014-03-04-15-00, 531.971667
2014-03-04-16-00, 482.433750
2014-03-04-17-00, 476.020000
2014-03-04-18-00, 590.806667
2014-03-04-19-00, 475.282500
2014-03-04-20-00, 468.183333
2014-03-04-21-00, 506.725000
2014-03-04-22-00, 478.820000
2014-03-04-23-00, 402.000000
2014-03-05-00-00, 623.360000
2014-03-05-06-00, 457.050000
2014-03-05-07-00, 391.830000
2014-03-05-08-00, 494.997500
2014-03-05-09-00, 476.524000
2014-03-05-10-00, 548.437500
2014-03-05-11-00, 500.740909
2014-03-05-12-00, 498.185333
2014-03-05-13-00, 535.722000
2014-03-05-14-00, 481.046000
2014-03-05-15-00, 510.998571
2014-03-05-16-00, 483.303333
2014-03-05-17-00, 481.060000
2014-03-05-18-00, 526.608333
2014-03-05-19-00, 515.250000
2014-03-05-20-00, 513.837500
2014-03-05-21-00, 722.770000
2014-03-05-22-00, 470.810000
2014-03-06-00-00, 410.000000
2014-03-06-07-00, 485.000000
2014-03-06-08-00, 497.230000
2014-03-06-09-00, 497.745000
2014-03-06-10-00, 487.182500
2014-03-06-11-00, 476.657143
2014-03-06-12-00, 500.573636
2014-03-06-13-00, 441.713333
2014-03-06-14-00, 491.447500
2014-03-06-15-00, 510.753333
2014-03-06-16-00, 477.537500
2014-03-06-17-00, 538.000000
2014-03-06-18-00, 493.116667
2014-03-06-19-00, 521.680000
2014-03-06-20-00, 521.624000
2014-03-06-21-00, 501.925000
2014-03-06-22-00, 483.490000
2014-03-06-23-00, 520.370000
2014-03-07-06-00, 465.360000
2014-03-07-07-00, 490.530000
2014-03-07-08-00, 526.835000
2014-03-07-09-00, 493.975000
2014-03-07-10-00, 467.430000
2014-03-07-11-00, 488.207273
2014-03-07-12-00, 474.896250
2014-03-07-13-00, 495.886667
2014-03-07-14-00, 463.443333
2014-03-07-15-00, 498.536000
2014-03-07-16-00, 484.043333
2014-03-07-17-00, 476.454000
2014-03-07-18-00, 465.360000
2014-03-07-19-00, 523.783333
2014-03-07-20-00, 471.826667
2014-03-07-21-00, 486.342500
2014-03-07-23-00, 551.260000
2014-03-08-01-00, 451.300000
2014-03-08-03-00, 505.640000
2014-03-08-07-00, 459.280000
2014-03-08-08-00, 489.643333
2014-03-08-09-00, 483.853333
2014-03-08-10-00, 478.940000
2014-03-08-11-00, 493.705000
2014-03-08-13-00, 526.640000
2014-03-08-14-00, 500.160000
2014-03-08-15-00, 471.200000
2014-03-08-16-00, 480.775000
2014-03-08-17-00, 462.216667
2014-03-08-18-00, 495.556667
2014-03-08-19-00, 526.530000
2014-03-08-20-00, 422.100000
2014-03-08-21-00, 464.530000
2014-03-08-22-00, 449.000000
2014-03-08-23-00, 589.390000
2014-03-09-02-00, 418.610000
2014-03-09-07-00, 451.940000
2014-03-09-10-00, 536.220000
2014-03-09-11-00, 480.670000
2014-03-09-12-00, 580.000000
2014-03-09-13-00, 487.690000
2014-03-09-14-00, 491.990000
2014-03-09-15-00, 476.840000
2014-03-09-16-00, 474.730000
2014-03-09-17-00, 463.865000
2014-03-09-18-00, 483.470000
2014-03-09-19-00, 550.960000
2014-03-09-20-00, 625.060000
2014-03-09-21-00, 555.250000
2014-03-09-22-00, 431.350000
2014-03-10-04-00, 466.140000
2014-03-10-07-00, 492.800000
2014-03-10-08-00, 484.290000
2014-03-10-09-00, 470.675000
2014-03-10-10-00, 469.380000
2014-03-10-11-00, 477.159091
2014-03-10-12-00, 471.075714
2014-03-10-13-00, 472.182500
2014-03-10-14-00, 482.564286
2014-03-10-15-00, 465.503636
2014-03-10-16-00, 693.320000
2014-03-10-17-00, 457.891667
2014-03-10-18-00, 469.393333
2014-03-10-19-00, 457.090000
2014-03-10-20-00, 512.115000
2014-03-10-21-00, 461.954000
2014-03-10-22-00, 494.610000
2014-03-10-23-00, 559.835000
2014-03-11-05-00, 700.000000
2014-03-11-06-00, 454.740000
2014-03-11-08-00, 483.918000
2014-03-11-09-00, 475.935000
2014-03-11-10-00, 464.319000
2014-03-11-11-00, 464.996667
2014-03-11-12-00, 480.156000
2014-03-11-13-00, 468.854000
2014-03-11-14-00, 443.886000
2014-03-11-15-00, 455.919000
2014-03-11-16-00, 469.562500
2014-03-11-17-00, 463.318750
2014-03-11-18-00, 504.263333
2014-03-11-19-00, 533.990000
2014-03-11-20-00, 488.440000
2014-03-11-21-00, 430.000000
2014-03-11-22-00, 500.630000
2014-03-12-01-00, 493.260000
2014-03-12-04-00, 424.000000
2014-03-12-06-00, 473.920000
2014-03-12-07-00, 510.875000
2014-03-12-08-00, 451.080000
2014-03-12-09-00, 484.280000
2014-03-12-10-00, 440.580000
2014-03-12-11-00, 468.129333
2014-03-12-12-00, 484.131667
2014-03-12-13-00, 490.487143
2014-03-12-14-00, 479.286667
2014-03-12-15-00, 465.199167
2014-03-12-16-00, 532.823333
2014-03-12-17-00, 469.663333
2014-03-12-18-00, 517.010000
2014-03-12-19-00, 536.645000
2014-03-12-20-00, 517.310000
2014-03-12-21-00, 504.800000
2014-03-12-22-00, 496.650000
2014-03-12-23-00, 488.590000
2014-03-13-00-00, 413.930000
2014-03-13-01-00, 520.000000
2014-03-13-06-00, 445.210000
2014-03-13-07-00, 451.080000
2014-03-13-08-00, 454.177500
2014-03-13-09-00, 472.414286
2014-03-13-10-00, 469.114286
2014-03-13-11-00, 464.128000
2014-03-13-12-00, 471.855000
2014-03-13-13-00, 481.770000
2014-03-13-14-00, 475.166667
2014-03-13-15-00, 488.086250
2014-03-13-16-00, 469.597000
2014-03-13-17-00, 401.880000
2014-03-13-18-00, 517.151429
2014-03-13-19-00, 508.926667
2014-03-13-20-00, 557.590000
2014-03-13-21-00, 532.866667
2014-03-13-22-00, 482.980000
2014-03-13-23-00, 491.570000
2014-03-14-00-00, 432.980000
2014-03-14-01-00, 498.560000
2014-03-14-06-00, 494.190000
2014-03-14-07-00, 464.047500
2014-03-14-08-00, 758.000000
2014-03-14-09-00, 482.330000
2014-03-14-10-00, 472.952222
2014-03-14-11-00, 451.645000
2014-03-14-12-00, 508.120000
2014-03-14-13-00, 496.090000
2014-03-14-14-00, 548.130000
2014-03-14-15-00, 452.523750
2014-03-14-16-00, 487.132000
2014-03-14-17-00, 561.028000
2014-03-14-18-00, 430.486667
2014-03-14-19-00, 467.215000
2014-03-14-20-00, 484.383333
2014-03-14-21-00, 554.643333
2014-03-14-22-00, 465.710000
2014-03-15-00-00, 445.480000
2014-03-15-07-00, 465.660000
2014-03-15-09-00, 504.090000
2014-03-15-10-00, 473.832000
2014-03-15-11-00, 512.585000
2014-03-15-12-00, 541.287500
2014-03-15-13-00, 324.185000
2014-03-15-14-00, 489.070000
2014-03-15-16-00, 465.944000
2014-03-15-17-00, 484.655000
2014-03-15-18-00, 411.660000
2014-03-15-19-00, 490.410000
2014-03-15-20-00, 472.150000
2014-03-15-21-00, 428.530000
2014-03-16-10-00, 418.290000
2014-03-16-11-00, 567.546667
2014-03-16-12-00, 418.620000
2014-03-16-15-00, 450.110000
2014-03-16-16-00, 440.000000
2014-03-16-17-00, 536.665000
2014-03-16-18-00, 415.070000
2014-03-16-21-00, 583.473333
2014-03-16-22-00, 520.495000
2014-03-16-23-00, 503.900000
2014-03-17-04-00, 682.750000
2014-03-17-07-00, 434.610000
2014-03-17-08-00, 490.563333
2014-03-17-09-00, 457.711667
2014-03-17-10-00, 460.777500
2014-03-17-11-00, 471.684000
2014-03-17-12-00, 530.052500
2014-03-17-13-00, 479.441667
2014-03-17-14-00, 472.165000
2014-03-17-15-00, 468.120000
2014-03-17-16-00, 530.442500
2014-03-17-17-00, 455.348571
2014-03-17-18-00, 455.060000
2014-03-17-19-00, 456.152500
2014-03-17-20-00, 436.520000
2014-03-17-21-00, 458.737500
2014-03-17-22-00, 604.030000
2014-03-17-23-00, 460.590000
2014-03-18-00-00, 495.910000
2014-03-18-04-00, 466.000000
2014-03-18-07-00, 468.485000
2014-03-18-08-00, 452.782000
2014-03-18-09-00, 456.654286
2014-03-18-10-00, 491.558571
2014-03-18-11-00, 452.454000
2014-03-18-12-00, 455.036667
2014-03-18-13-00, 464.570000
2014-03-18-14-00, 461.573333
2014-03-18-15-00, 453.956667
2014-03-18-16-00, 472.970000
2014-03-18-17-00, 511.084000
2014-03-18-18-00, 484.130000
2014-03-18-19-00, 455.390000
2014-03-18-20-00, 457.360000
2014-03-18-21-00, 562.240000
2014-03-18-23-00, 593.160000
2014-03-19-00-00, 469.040000
2014-03-19-01-00, 446.380000
2014-03-19-02-00, 688.670000
2014-03-19-06-00, 466.990000
2014-03-19-07-00, 434.620000
2014-03-19-08-00, 461.167500
2014-03-19-09-00, 457.610000
2014-03-19-10-00, 575.510000
2014-03-19-11-00, 465.817500
2014-03-19-12-00, 451.307500
2014-03-19-13-00, 432.466667
2014-03-19-14-00, 476.250000
2014-03-19-15-00, 452.491429
2014-03-19-16-00, 465.371250
2014-03-19-17-00, 459.572857
2014-03-19-18-00, 542.360000
2014-03-19-19-00, 440.763333
2014-03-19-20-00, 462.160000
2014-03-19-21-00, 583.220000
2014-03-19-22-00, 445.385000
2014-03-20-06-00, 439.040000
2014-03-20-07-00, 462.740000
2014-03-20-08-00, 455.463333
2014-03-20-09-00, 460.911667
2014-03-20-10-00, 446.200000
2014-03-20-11-00, 454.826667
2014-03-20-12-00, 445.998750
2014-03-20-13-00, 485.627500
2014-03-20-14-00, 457.995000
2014-03-20-15-00, 457.390000
2014-03-20-16-00, 455.446000
2014-03-20-17-00, 449.835000
2014-03-20-18-00, 465.245000
2014-03-20-19-00, 425.932500
2014-03-20-20-00, 470.710000
2014-03-20-21-00, 484.376667
2014-03-20-22-00, 428.100000
2014-03-20-23-00, 464.995000
2014-03-21-01-00, 454.700000
2014-03-21-02-00, 492.320000
2014-03-21-07-00, 408.440000
2014-03-21-08-00, 453.956667
2014-03-21-09-00, 436.710000
2014-03-21-10-00, 437.737500
2014-03-21-11-00, 475.205000
2014-03-21-12-00, 446.315000
2014-03-21-13-00, 431.780000
2014-03-21-14-00, 510.260000
2014-03-21-15-00, 437.866667
2014-03-21-16-00, 440.570000
2014-03-21-17-00, 441.640000
2014-03-21-18-00, 469.003333
2014-03-21-19-00, 430.863333
2014-03-21-20-00, 478.547500
2014-03-21-21-00, 450.170000
2014-03-22-04-00, 440.180000
2014-03-22-09-00, 428.500000
2014-03-22-11-00, 488.000000
2014-03-22-12-00, 453.203333
2014-03-22-13-00, 477.190000
2014-03-22-14-00, 452.245000
2014-03-22-15-00, 431.250000
2014-03-22-16-00, 468.675000
2014-03-22-17-00, 514.585000
2014-03-22-18-00, 513.405000
2014-03-22-19-00, 429.960000
2014-03-22-20-00, 450.650000
2014-03-23-00-00, 505.560000
2014-03-23-04-00, 539.500000
2014-03-23-10-00, 480.640000
2014-03-23-12-00, 455.290000
2014-03-23-14-00, 437.230000
2014-03-23-16-00, 413.440000
2014-03-23-17-00, 480.320000
2014-03-23-18-00, 384.245000
2014-03-23-20-00, 413.920000
2014-03-23-21-00, 519.380000
2014-03-24-07-00, 431.760000
2014-03-24-08-00, 476.302500
2014-03-24-09-00, 440.302500
2014-03-24-10-00, 514.366667
2014-03-24-11-00, 450.564000
2014-03-24-12-00, 421.836667
2014-03-24-13-00, 454.613333
2014-03-24-14-00, 449.142500
2014-03-24-15-00, 425.500000
2014-03-24-16-00, 431.140000
2014-03-24-17-00, 428.426250
2014-03-24-18-00, 398.216000
2014-03-24-19-00, 448.695000
2014-03-24-20-00, 421.110000
2014-03-24-21-00, 409.660000
2014-03-24-22-00, 459.860000
2014-03-24-23-00, 457.140000
2014-03-25-02-00, 540.340000
2014-03-25-03-00, 584.770000
2014-03-25-06-00, 419.930000
2014-03-25-07-00, 434.518333
2014-03-25-08-00, 455.190000
2014-03-25-09-00, 427.993333
2014-03-25-10-00, 404.393333
2014-03-25-11-00, 421.920000
2014-03-25-12-00, 425.995000
2014-03-25-13-00, 466.931111
2014-03-25-14-00, 442.090000
2014-03-25-15-00, 437.707143
2014-03-25-16-00, 419.355000
2014-03-25-17-00, 466.422000
2014-03-25-18-00, 409.584000
2014-03-25-19-00, 433.343636
2014-03-25-20-00, 440.140000
2014-03-25-21-00, 477.566667
2014-03-25-22-00, 461.460000
2014-03-25-23-00, 433.347500
