BTC, GBP
2014-02-23-00-00, 376.570000
2014-02-23-01-00, 385.343333
2014-02-23-02-00, 385.763333
2014-02-23-03-00, 355.830000
2014-02-23-07-00, 474.180000
2014-02-23-08-00, 407.140000
2014-02-23-09-00, 387.143333
2014-02-23-10-00, 401.942500
2014-02-23-11-00, 399.360000
2014-02-23-12-00, 386.618000
2014-02-23-13-00, 390.336000
2014-02-23-14-00, 395.802727
2014-02-23-15-00, 401.407500
2014-02-23-16-00, 402.048000
2014-02-23-17-00, 397.707273
2014-02-23-18-00, 399.998125
2014-02-23-19-00, 394.898182
2014-02-23-20-00, 402.567059
2014-02-23-21-00, 404.700000
2014-02-23-22-00, 384.293333
2014-02-23-23-00, 397.510000
2014-02-24-00-00, 393.230000
2014-02-24-01-00, 386.160000
2014-02-24-02-00, 419.990000
2014-02-24-03-00, 347.900000
2014-02-24-06-00, 420.000000
2014-02-24-08-00, 367.240000
2014-02-24-09-00, 371.790000
2014-02-24-10-00, 373.460588
2014-02-24-11-00, 376.310769
2014-02-24-12-00, 378.784118
2014-02-24-13-00, 379.382308
2014-02-24-14-00, 370.404167
2014-02-24-15-00, 369.785625
2014-02-24-16-00, 370.177692
2014-02-24-17-00, 364.340000
2014-02-24-18-00, 358.083750
2014-02-24-19-00, 362.999286
2014-02-24-20-00, 362.671000
2014-02-24-21-00, 372.100000
2014-02-24-22-00, 367.656471
2014-02-24-23-00, 366.978889
2014-02-25-00-00, 353.737143
2014-02-25-01-00, 357.116667
2014-02-25-02-00, 370.000000
2014-02-25-03-00, 374.990000
2014-02-25-04-00, 361.096667
2014-02-25-05-00, 342.650000
2014-02-25-06-00, 350.115000
2014-02-25-07-00, 370.000000
2014-02-25-08-00, 332.052500
2014-02-25-09-00, 327.875000
2014-02-25-10-00, 338.589524
2014-02-25-11-00, 334.244500
2014-02-25-12-00, 331.669600
2014-02-25-13-00, 334.263636
2014-02-25-14-00, 332.540000
2014-02-25-15-00, 340.947333
2014-02-25-16-00, 346.607143
2014-02-25-17-00, 335.000625
2014-02-25-18-00, 333.087500
2014-02-25-19-00, 342.505000
2014-02-25-20-00, 339.730000
2014-02-25-21-00, 342.276923
2014-02-25-22-00, 349.997000
2014-02-25-23-00, 347.002000
2014-02-26-00-00, 368.071818
2014-02-26-01-00, 360.133333
2014-02-26-02-00, 355.055000
2014-02-26-03-00, 350.637500
2014-02-26-04-00, 331.895000
2014-02-26-05-00, 357.575000
2014-02-26-06-00, 362.430000
2014-02-26-07-00, 385.896667
2014-02-26-08-00, 379.720000
2014-02-26-09-00, 373.364545
2014-02-26-10-00, 376.491250
2014-02-26-11-00, 374.896000
2014-02-26-12-00, 361.462500
2014-02-26-13-00, 368.783636
2014-02-26-14-00, 361.548421
2014-02-26-15-00, 367.336154
2014-02-26-16-00, 362.072308
2014-02-26-17-00, 367.073333
2014-02-26-18-00, 372.658462
2014-02-26-19-00, 369.306000
2014-02-26-20-00, 371.513750
2014-02-26-21-00, 372.960000
2014-02-26-22-00, 390.895000
2014-02-26-23-00, 375.386000
2014-02-27-00-00, 399.647143
2014-02-27-01-00, 370.403750
2014-02-27-02-00, 366.086667
2014-02-27-03-00, 368.120000
2014-02-27-05-00, 383.290000
2014-02-27-06-00, 383.490000
2014-02-27-07-00, 344.625000
2014-02-27-08-00, 384.540000
2014-02-27-09-00, 365.646667
2014-02-27-10-00, 371.940000
2014-02-27-11-00, 369.168000
2014-02-27-12-00, 368.145385
2014-02-27-13-00, 372.849200
2014-02-27-14-00, 365.837500
2014-02-27-15-00, 362.758667
2014-02-27-16-00, 365.741250
2014-02-27-17-00, 367.996000
2014-02-27-18-00, 364.636923
2014-02-27-19-00, 367.730625
2014-02-27-20-00, 361.282667
2014-02-27-21-00, 387.598750
2014-02-27-22-00, 360.803333
2014-02-27-23-00, 360.832857
2014-02-28-00-00, 362.688333
2014-02-28-01-00, 369.928000
2014-02-28-02-00, 357.720000
2014-02-28-04-00, 375.000000
2014-02-28-06-00, 364.030000
2014-02-28-07-00, 360.597500
2014-02-28-08-00, 363.005714
2014-02-28-09-00, 362.393750
2014-02-28-10-00, 362.980833
2014-02-28-11-00, 358.407778
2014-02-28-12-00, 346.658421
2014-02-28-13-00, 403.802000
2014-02-28-14-00, 347.869286
2014-02-28-15-00, 353.188571
2014-02-28-16-00, 350.320667
2014-02-28-17-00, 347.863125
2014-02-28-18-00, 354.751111
2014-02-28-19-00, 355.071667
2014-02-28-20-00, 352.920833
2014-02-28-21-00, 354.532500
2014-02-28-22-00, 345.977000
2014-02-28-23-00, 358.505000
2014-03-01-00-00, 341.270000
2014-03-01-01-00, 356.842000
2014-03-01-03-00, 375.000000
2014-03-01-06-00, 353.250000
2014-03-01-07-00, 331.030000
2014-03-01-08-00, 370.000000
2014-03-01-09-00, 348.188571
2014-03-01-10-00, 343.951429
2014-03-01-11-00, 343.437778
2014-03-01-12-00, 346.962500
2014-03-01-13-00, 362.694444
2014-03-01-14-00, 349.905556
2014-03-01-15-00, 347.429000
2014-03-01-16-00, 352.473333
2014-03-01-17-00, 347.487143
2014-03-01-18-00, 347.324545
2014-03-01-19-00, 343.388182
2014-03-01-20-00, 345.856667
2014-03-01-21-00, 354.333333
2014-03-01-22-00, 350.595714
2014-03-01-23-00, 346.297500
2014-03-02-00-00, 355.270000
2014-03-02-01-00, 354.955000
2014-03-02-02-00, 359.440000
2014-03-02-03-00, 343.040000
2014-03-02-06-00, 375.000000
2014-03-02-07-00, 363.652500
2014-03-02-08-00, 352.997500
2014-03-02-09-00, 347.550000
2014-03-02-10-00, 350.203333
2014-03-02-11-00, 354.832857
2014-03-02-12-00, 345.781667
2014-03-02-13-00, 350.097857
2014-03-02-14-00, 353.830000
2014-03-02-15-00, 350.350625
2014-03-02-16-00, 349.553333
2014-03-02-17-00, 365.407692
2014-03-02-18-00, 354.288889
2014-03-02-19-00, 350.715000
2014-03-02-20-00, 348.755000
2014-03-02-21-00, 352.095714
2014-03-02-22-00, 350.704000
2014-03-02-23-00, 350.937778
2014-03-03-00-00, 356.745000
2014-03-03-01-00, 357.306667
2014-03-03-02-00, 336.305000
2014-03-03-03-00, 344.343333
2014-03-03-06-00, 365.000000
2014-03-03-07-00, 366.857500
2014-03-03-08-00, 353.232500
2014-03-03-09-00, 365.230909
2014-03-03-10-00, 360.352000
2014-03-03-11-00, 358.194211
2014-03-03-12-00, 361.774500
2014-03-03-13-00, 358.056154
2014-03-03-14-00, 363.484000
2014-03-03-15-00, 376.840476
2014-03-03-16-00, 372.079048
2014-03-03-17-00, 380.252273
2014-03-03-18-00, 407.792500
2014-03-03-19-00, 409.231250
2014-03-03-20-00, 399.765000
2014-03-03-21-00, 394.212941
2014-03-03-22-00, 410.208333
2014-03-03-23-00, 411.552632
2014-03-04-00-00, 411.540000
2014-03-04-01-00, 419.788182
2014-03-04-02-00, 416.500000
2014-03-04-03-00, 430.000000
2014-03-04-04-00, 423.000000
2014-03-04-07-00, 398.740000
2014-03-04-08-00, 394.590000
2014-03-04-09-00, 422.891250
2014-03-04-10-00, 419.860000
2014-03-04-11-00, 420.288125
2014-03-04-12-00, 427.119500
2014-03-04-13-00, 428.133077
2014-03-04-14-00, 425.904091
2014-03-04-15-00, 429.793333
2014-03-04-16-00, 426.075484
2014-03-04-17-00, 418.694286
2014-03-04-18-00, 418.358500
2014-03-04-19-00, 421.828182
2014-03-04-20-00, 420.631818
2014-03-04-21-00, 420.225882
2014-03-04-22-00, 418.639286
2014-03-04-23-00, 409.471765
2014-03-05-00-00, 418.863750
2014-03-05-01-00, 418.842500
2014-03-05-02-00, 411.420000
2014-03-05-04-00, 386.170000
2014-03-05-05-00, 426.000000
2014-03-05-06-00, 428.610000
2014-03-05-07-00, 423.996667
