ETH,BTC
2015-08-08-12-00,0.00256
2015-08-09-12-00,0.0027
2015-08-10-12-00,0.0027
2015-08-11-12-00,0.00385
2015-08-12-12-00,0.00459
2015-08-13-12-00,0.00676
2015-08-14-12-00,0.00679
2015-08-15-12-00,0.00648
2015-08-16-12-00,0.00613
2015-08-17-12-00,0.00471
2015-08-18-12-00,0.00501
2015-08-19-12-00,0.00555
2015-08-20-12-00,0.0062
2015-08-21-12-00,0.00601
2015-08-22-12-00,0.00604
2015-08-23-12-00,0.00591
2015-08-24-12-00,0.00587
2015-08-25-12-00,0.00514
2015-08-26-12-00,0.00513
2015-08-27-12-00,0.00509
2015-08-28-12-00,0.00514
2015-08-29-12-00,0.00513
